uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"db1a02e4-b73c-4201-b019-720f4b58d020","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",7,"AEDPRO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"provocans",,"Aedes provocans","(Walker)","species","N",,"F","MOS.D01.001263","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"e6c3aea4-5464-4552-8d65-a68a85c2c894","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",5,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"f43e0c27-ddea-4f83-9a97-9929870893e9","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",7,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"196a437f-4c6a-4125-9682-7ad86a32c7d3","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",32,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F","MOS.D01.001242","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"eb0f823a-897c-4e78-99a7-9df652b9a4a3","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",4,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"144008e9-6ed8-46c8-aeb1-02c0ca5438fe","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",74,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"e348f4a4-410e-4adc-8ff2-cb1ddd28a184","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",16,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"f668c805-e172-4cdf-975a-b4dba2fc7e75","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",52,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab","species","N",,"F","MOS.D01.001237","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"8ed752ba-835c-46e9-9b2f-197abab29088","BART_086.mosquitoPoint.mos","D01","BART","BART_086","2018-06-19T21:45Z","2018-06-20T10:20Z","2018-07-05","BART_086.20180620.0620.S.01",,,,,,"Y",3,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"019dade0-4bd6-4821-8fc7-7f093d31aea4","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F","MOS.D01.001342","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"1c7fccc1-a4dc-46b5-bcb0-cdb6de0e50cc","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",63,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F","MOS.D01.001225","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"a85e4e5e-8c17-44a5-bf2e-7d0b628cd3f2","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",3,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"3dd929d0-9be1-4a8b-913e-9739d7df4368","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",9,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab","species","N",,"F","MOS.D01.001234","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"f6a6eee1-b7d5-4ee7-ae8e-d3ab5fdd72bc","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",2,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"intrudens",,"Aedes intrudens","Dyar","species","N",,"F","MOS.D01.001253","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"82d62cef-fa16-4600-8f7c-0f84871d08c2","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",5,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"d6eca6c5-30f6-47f7-92a2-c71bf1ac65ba","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",13,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"ae5f4579-313b-48c3-9224-4351f69a47d4","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2018-06-19T21:55Z","2018-06-20T10:39Z","2018-07-05","BART_059.20180620.0639.S.01",,,,,,"Y",4,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"4931f728-2a5b-46c3-aa08-2b55ea6be790","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2018-06-19T22:04Z","2018-06-20T10:43Z","2018-07-05","BART_054.20180620.0643.S.01",,,,,,"Y",6,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"5bba1097-4e68-4742-a17c-60a19072a3de","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2018-06-19T22:04Z","2018-06-20T10:43Z","2018-07-05","BART_054.20180620.0643.S.01",,,,,,"Y",4,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"55a4da0f-83e0-4e12-97b1-01ab75526f46","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2018-06-19T22:04Z","2018-06-20T10:43Z","2018-07-05","BART_054.20180620.0643.S.01",,,,,,"Y",4,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"1f598f47-27c7-4680-91c6-05051fd79f68","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2018-06-19T22:04Z","2018-06-20T10:43Z","2018-07-05","BART_054.20180620.0643.S.01",,,,,,"Y",6,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"bc137080-56bf-4d88-8885-d1aafb6b515c","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2018-06-19T22:04Z","2018-06-20T10:43Z","2018-07-05","BART_054.20180620.0643.S.01",,,,,,"Y",22,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
