uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"4722a83d-bb2c-4034-9526-1b44e1931437","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-11-08T20:09Z","2016-11-09T14:18Z","2017-02-06","HARV_074.20161109.0918.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"dca9a34d-3d7d-4eee-b29a-b66add28ae95","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-11-08T20:18Z","2016-11-09T14:06Z","2017-02-06","HARV_077.20161109.0906.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"e8ffaa59-f698-40be-9094-07b2f4b023af","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2016-11-08T20:53Z","2016-11-09T13:32Z","2017-02-06","HARV_081.20161109.0832.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"b306a6fb-7860-4a1e-9777-9e4e090e25bb","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2016-11-09T13:07Z","2016-11-09T21:10Z","2017-02-06","HARV_079.20161109.1610.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"6c82f48c-6706-4ace-b4bb-2ca528e46955","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2016-11-09T13:34Z","2016-11-09T20:59Z","2017-02-06","HARV_081.20161109.1559.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"7a9219a9-85fd-47f2-94a0-b1ed06d078a5","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2016-11-09T13:59Z","2016-11-09T20:26Z","2017-02-06","HARV_078.20161109.1526.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"6be04531-3075-456f-a6e0-fd1b754bc0c2","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-11-09T14:09Z","2016-11-09T20:18Z","2017-02-06","HARV_077.20161109.1518.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"5e22936d-ffb9-4e7a-85c0-550ec56e5a4a","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-11-09T14:21Z","2016-11-09T20:09Z","2017-02-06","HARV_074.20161109.1509.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"6225e3fa-48b1-49c9-8a39-f0f017b9bf08","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2016-11-09T19:54Z","2016-11-10T12:36Z","2017-02-06","HARV_082.20161110.0736.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"ec0b3afd-5689-4f10-8db9-6154c0b1baad","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-11-09T20:19Z","2016-11-10T12:59Z","2017-02-06","HARV_077.20161110.0759.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"3039f9bd-7890-4f88-b6c1-95a4f187cdc7","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2016-11-09T21:16Z","2016-11-10T13:45Z","2017-02-06","HARV_075.20161110.0845.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"4f34cb76-63ef-47b1-a2af-1ccab51f14fc","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2016-11-29T19:43Z","2016-11-30T13:36Z","2017-02-06","HARV_073.20161130.0836.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"116155c6-a967-4c16-bcee-608323ad2d07","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2016-11-29T19:59Z","2016-11-30T13:55Z","2017-02-06","HARV_075.20161130.0855.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"d9722b68-907a-4437-a88b-da95d7ca8b38","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2016-11-29T20:02Z","2016-11-30T14:00Z","2017-02-06","HARV_079.20161130.0900.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
