uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"568b1ac9-8a29-4b73-b788-5aa68eb28a7f","SCBI_020.mosquitoPoint.mos","D02","SCBI","SCBI_020","2014-06-30T22:01Z","2014-07-01T09:56Z",,"SCBI_020.20140701.0556.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
"e95b3254-c752-480f-8d62-cb133ab74281","SCBI_028.mosquitoPoint.mos","D02","SCBI","SCBI_028","2014-06-30T22:29Z","2014-07-01T10:29Z",,"SCBI_028.20140701.0629.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
"65bdc60d-c075-47ee-9e27-c8d2843f87a9","SCBI_032.mosquitoPoint.mos","D02","SCBI","SCBI_032","2014-06-30T22:39Z","2014-07-01T10:41Z",,"SCBI_032.20140701.0641.S.01",,,,"SCBI.2014.26.CULRES.F.A",,"Y",1,"CULRES","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"restuans",,"Culex restuans","Theobald","species","N",,"F",,"Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,,"T. Petruff","Connecticut Agricultural Experiment Station"
"e82f558f-a75d-462b-8f95-096dc31ecfb1","SCBI_031.mosquitoPoint.mos","D02","SCBI","SCBI_031","2014-06-30T22:53Z","2014-07-01T10:53Z",,"SCBI_031.20140701.0653.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
"99955c79-4a72-4979-b609-b60ffb777dcf","SCBI_009.mosquitoPoint.mos","D02","SCBI","SCBI_009","2014-06-30T23:00Z","2014-07-01T11:02Z",,"SCBI_009.20140701.0702.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
"eb6e3b1b-170c-4aff-95b5-63c237aa623b","SCBI_029.mosquitoPoint.mos","D02","SCBI","SCBI_029","2014-06-30T23:07Z","2014-07-01T11:11Z",,"SCBI_029.20140701.0711.S.01",,,,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F","MOS.D02.000019","Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,"Vouchered only specimen from bout","T. Petruff","Connecticut Agricultural Experiment Station"
"b66eacb6-6ce0-4d58-8cf2-f8924b4c4217","SCBI_029.mosquitoPoint.mos","D02","SCBI","SCBI_029","2014-06-30T23:07Z","2014-07-01T11:11Z",,"SCBI_029.20140701.0711.S.01",,,,"SCBI.2014.26.AEDTRI1.F.A",,"Y",1,"AEDTRI1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"triseriatus",,"Aedes triseriatus","(Say)","species","N",,"F",,"Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,,"T. Petruff","Connecticut Agricultural Experiment Station"
"11d110e0-ee42-4ad8-a8f3-8cb8d88191a2","SCBI_029.mosquitoPoint.mos","D02","SCBI","SCBI_029","2014-06-30T23:07Z","2014-07-01T11:11Z",,"SCBI_029.20140701.0711.S.01",,,,"SCBI.2014.26.ANOPUN.F.A",,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,,"T. Petruff","Connecticut Agricultural Experiment Station"
"0a2ada46-a42f-497f-884f-a70fe43d6919","SCBI_027.mosquitoPoint.mos","D02","SCBI","SCBI_027","2014-06-30T23:11Z","2014-07-01T11:17Z",,"SCBI_027.20140701.0717.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
"2e99039b-13d0-4d40-ad3f-ba5d71586fc5","SCBI_030.mosquitoPoint.mos","D02","SCBI","SCBI_030","2014-06-30T23:20Z","2014-07-01T11:28Z",,"SCBI_030.20140701.0728.S.01",,,,"SCBI.2014.26.COQPER.F.A",,"Y",4,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F","MOS.D02.000029","Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,,"T. Petruff","Connecticut Agricultural Experiment Station"
"324c8add-a24d-4e86-b65b-9170f224dd7e","SCBI_020.mosquitoPoint.mos","D02","SCBI","SCBI_020","2014-07-01T09:56Z","2014-07-01T22:22Z",,"SCBI_020.20140701.1822.S.01",,,,"SCBI.2014.26.AEDTRI1.F.A",,"Y",1,"AEDTRI1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"triseriatus",,"Aedes triseriatus","(Say)","species","N",,"F",,"Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","No known compromise",,,"T. Petruff","Connecticut Agricultural Experiment Station"
"10f183eb-384e-4dc4-9a92-02425abae05a","SCBI_028.mosquitoPoint.mos","D02","SCBI","SCBI_028","2014-07-01T10:29Z","2014-07-01T22:48Z",,"SCBI_028.20140701.1848.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise",,"no mosquitoes - other insects","T. Petruff","Connecticut Agricultural Experiment Station"
