uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"f04539c6-0419-4303-b342-05e211e65896","SERC_040.mosquitoPoint.mos","D02","SERC","SERC_040","2015-07-13T22:11Z","2015-07-14T11:50Z","2016-10-19","SERC_040.20150714.0750.S.01",,,,"SERC.2015.28.AEDTRI1.F.A",,"Y",2,"AEDTRI1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"triseriatus",,"Aedes triseriatus","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"ae019122-4a6f-412c-993b-4208fe825b44","SERC_040.mosquitoPoint.mos","D02","SERC","SERC_040","2015-07-13T22:11Z","2015-07-14T11:50Z","2016-10-19","SERC_040.20150714.0750.S.01",,"SERC.2015.28.CULSAL.F.T",,,,"Y",22,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"c9e4e19a-3bac-45a1-ae19-e5e511d4abbb","SERC_040.mosquitoPoint.mos","D02","SERC","SERC_040","2015-07-13T22:11Z","2015-07-14T11:50Z","2016-10-19","SERC_040.20150714.0750.S.01",,"SERC.2015.28.AEDCAN2.F.T",,,,"Y",1,"AEDCAN2","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"canadensis",,"Aedes canadensis","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"54a58e31-cc5f-4737-9d6d-9c632f5d5707","SERC_040.mosquitoPoint.mos","D02","SERC","SERC_040","2015-07-13T22:11Z","2015-07-14T11:50Z","2016-10-19","SERC_040.20150714.0750.S.01",,,,"SERC.2015.28.PSOFER.F.A",,"Y",1,"PSOFER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ferox",,"Psorophora ferox","Humboldt","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"91974b8a-3a8e-4d21-9bc6-283281fc61b1","SERC_040.mosquitoPoint.mos","D02","SERC","SERC_040","2015-07-13T22:11Z","2015-07-14T11:50Z","2016-10-19","SERC_040.20150714.0750.S.01",,,,"SERC.2015.28.AEDTRI.F.A",,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"6d8bd7a3-06a3-49a8-bdcc-cab222c29bea","SERC_065.mosquitoPoint.mos","D02","SERC","SERC_065","2015-07-13T22:18Z","2015-07-14T12:10Z","2016-10-20","SERC_065.20150714.0810.S.01",,,,"SERC.2015.28.ANOQUA.F.A",,"Y",1,"ANOQUA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"quadrimaculatus",,"Anopheles quadrimaculatus","Say","species","N","cf. species","F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise","Anopheles quadrimaculatus s.l, see Note 9 in Harrison et al. (2016) ''The Mosquitoes of the Mid-Atlantic Region: An Identification Guide",,"C. M. Franco","Connecticut Agricultural Experiment Station"
"227e4f9e-4f26-499d-ac0e-882d5ecb604d","SERC_065.mosquitoPoint.mos","D02","SERC","SERC_065","2015-07-13T22:18Z","2015-07-14T12:10Z","2016-10-20","SERC_065.20150714.0810.S.01",,,,"SERC.2015.28.PSOFER.F.A",,"Y",1,"PSOFER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ferox",,"Psorophora ferox","Humboldt","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"20432eaf-609b-4bdd-9103-afb786f00faf","SERC_065.mosquitoPoint.mos","D02","SERC","SERC_065","2015-07-13T22:18Z","2015-07-14T12:10Z","2016-10-20","SERC_065.20150714.0810.S.01",,"SERC.2015.28.AEDVEX.F.T",,,,"Y",8,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"42b44dcf-5a91-4774-a112-6f75406c0328","SERC_065.mosquitoPoint.mos","D02","SERC","SERC_065","2015-07-13T22:18Z","2015-07-14T12:10Z","2016-10-20","SERC_065.20150714.0810.S.01",,"SERC.2015.28.CULSAL.F.T",,,,"Y",58,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
"a9923ce7-9e4e-495e-aed0-0c23f7e39338","SERC_033.mosquitoPoint.mos","D02","SERC","SERC_033","2015-07-13T22:28Z","2015-07-14T12:20Z","2016-10-19","SERC_033.20150714.0820.S.01",,"SERC.2015.28.CULSAL.F.T",,,,"Y",313,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"C. M. Franco","Connecticut Agricultural Experiment Station"
