uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"2cc76797-8d57-4655-bb26-aff1e418ed70","DSNY_082.mosquitoPoint.mos","D03","DSNY","DSNY_082","2018-01-02T19:53Z","2018-01-03T12:58Z","2018-02-08","DSNY_082.20180103.0758.S.01",,,,,,"Y",5,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"c086cdbb-ac7a-40a9-99c6-e5bacb8d271a","DSNY_082.mosquitoPoint.mos","D03","DSNY","DSNY_082","2018-01-02T19:53Z","2018-01-03T12:58Z","2018-02-08","DSNY_082.20180103.0758.S.01",,,,,,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"melanura",,"Culiseta melanura","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"81def0b0-683d-46c3-914e-e6a996280002","DSNY_078.mosquitoPoint.mos","D03","DSNY","DSNY_078","2018-01-02T20:23Z","2018-01-03T13:29Z","2018-02-08","DSNY_078.20180103.0829.S.01",,,,,,"Y",4,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"66f103b2-9efe-4267-a7f9-218ba4732f32","DSNY_079.mosquitoPoint.mos","D03","DSNY","DSNY_079","2018-01-02T20:41Z","2018-01-03T13:48Z","2018-02-08","DSNY_079.20180103.0848.S.01",,,,,,"Y",1,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"41938e55-c40f-43e4-a394-2cfe2a3435a6","DSNY_081.mosquitoPoint.mos","D03","DSNY","DSNY_081","2018-01-02T20:46Z","2018-01-03T13:53Z","2018-02-08","DSNY_081.20180103.0853.S.01",,,,,,"Y",1,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"9ed998db-90be-48a7-9672-4644278919c3","DSNY_081.mosquitoPoint.mos","D03","DSNY","DSNY_081","2018-01-02T20:46Z","2018-01-03T13:53Z","2018-02-08","DSNY_081.20180103.0853.S.01",,,,,,"Y",1,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"a8c76315-4f21-483d-82b5-104f132d353d","DSNY_077.mosquitoPoint.mos","D03","DSNY","DSNY_077","2018-01-02T20:52Z","2018-01-03T14:00Z","2018-02-08","DSNY_077.20180103.0900.S.01",,,,,,"Y",2,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"3fbda101-fc0b-478a-8254-cb4c8d94f1a0","DSNY_077.mosquitoPoint.mos","D03","DSNY","DSNY_077","2018-01-02T20:52Z","2018-01-03T14:00Z","2018-02-08","DSNY_077.20180103.0900.S.01",,,,,,"Y",1,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"melanura",,"Culiseta melanura","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"4cf47c36-9ec7-4030-8a2a-6fa0153ced77","DSNY_077.mosquitoPoint.mos","D03","DSNY","DSNY_077","2018-01-02T20:52Z","2018-01-03T14:00Z","2018-02-08","DSNY_077.20180103.0900.S.01",,,,,,"Y",10,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a263e917-1c7c-4604-8dca-538949fa5079","DSNY_080.mosquitoPoint.mos","D03","DSNY","DSNY_080","2018-01-02T20:57Z","2018-01-03T14:06Z","2018-02-08","DSNY_080.20180103.0906.S.01",,,,,,"Y",16,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"92f5aa1b-5826-4b77-b622-834745e12f9b","DSNY_080.mosquitoPoint.mos","D03","DSNY","DSNY_080","2018-01-02T20:57Z","2018-01-03T14:06Z","2018-02-08","DSNY_080.20180103.0906.S.01",,,,,,"Y",2,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"5fd7faf8-d30b-4f4a-a51b-40342d7b2569","DSNY_086.mosquitoPoint.mos","D03","DSNY","DSNY_086","2018-01-02T21:06Z","2018-01-03T14:16Z","2018-02-08","DSNY_086.20180103.0916.S.01",,,,,,"Y",2,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"64cbbc6b-16f7-4467-8630-77b341c90db9","DSNY_083.mosquitoPoint.mos","D03","DSNY","DSNY_083","2018-01-02T21:11Z","2018-01-03T14:21Z","2018-02-08","DSNY_083.20180103.0921.S.01",,,,,,"Y",2,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"48097fff-ba87-46f7-b1d4-27ed64f5d600","DSNY_083.mosquitoPoint.mos","D03","DSNY","DSNY_083","2018-01-02T21:11Z","2018-01-03T14:21Z","2018-02-08","DSNY_083.20180103.0921.S.01",,,,,,"Y",1,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"8d1371ce-2384-4e4f-a5b9-87365fdcb053","DSNY_082.mosquitoPoint.mos","D03","DSNY","DSNY_082","2018-01-03T12:58Z","2018-01-03T19:12Z","2018-02-08","DSNY_082.20180103.1412.S.01",,,,,,"Y",6,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3c30fc9a-e8e8-4af8-8239-5180c62753fd","DSNY_082.mosquitoPoint.mos","D03","DSNY","DSNY_082","2018-01-03T12:58Z","2018-01-03T19:12Z","2018-02-08","DSNY_082.20180103.1412.S.01",,,,,,"Y",8,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
