uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"78c39a01-0ad8-46b7-a437-71748913d098","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,"OSBS.2017.18.CULERR.F.T",,,,"Y",4,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"f44ed34a-92a7-4c63-9330-b2213c9112fd","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,,,"OSBS.2017.18.PSOCIL.F.A",,"Y",1,"PSOCIL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ciliata",,"Psorophora ciliata","(Fabricus)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"a06f7a2a-3b40-4f36-9ee9-631900037e24","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,,,"OSBS.2017.18.MANTIT.F.A",,"Y",4,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Mansonia",,"titillans",,"Mansonia titillans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"7900813c-9db5-4e67-bf5e-668f848d32ee","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,,,"OSBS.2017.18.COQPER.F.A",,"Y",4,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"0a52df63-9c06-4230-98d8-821888b43552","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,"OSBS.2017.18.AEDVEX.F.T",,,,"Y",17,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"1e3c9733-afa0-40db-b491-50d20c767b9f","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2017-05-01T20:09Z","2017-05-02T12:21Z","2017-05-15","OSBS_056.20170502.0821.S.01",,,,"OSBS.2017.18.ANOCRU.F.A",,"Y",11,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"686f9516-30c8-4e13-9ae5-ab4e88d88b3b","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.AEDMIT.F.A",,"Y",1,"AEDMIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"mitchellae",,"Aedes mitchellae","(Dyar)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"eff04cfc-24aa-4645-b529-fa4401fbfde0","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,"OSBS.2017.18.AEDVEX.F.T",,,,"Y",10,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"b40c1eb8-f939-4143-bc18-d5e78c7c6b16","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.CULSP1.F.A",,"Y",1,"CULSPP3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"sp.",,"Culex sp.",,"genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"H.M. Ward","Vector Disease Control International"
"6bf0f29b-b1c8-4347-bd84-3f3e08380dcd","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.ANOCRU.F.A",,"Y",1,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"crucians",,"Anopheles crucians","Wiedemann","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"b52e2580-b59d-4d1e-b705-51b5dcb4fbaf","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.CULCOR.F.A",,"Y",1,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"coronator",,"Culex coronator","Dyar and Knab","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"2dba89cf-2ffa-4a25-9f34-13ac18e2f0d2","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,"OSBS.2017.18.CULERR.F.T",,,,"Y",9,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"4cfaa422-e8d6-46fd-8ff4-105517dad103","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,"OSBS.2017.18.AEDINF.F.T",,,,"Y",7,"AEDINF","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"infirmatus",,"Aedes infirmatus","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"a74c1680-d57e-4b35-9789-592ee8c82383","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,"OSBS.2017.18.CULNIG.F.T",,,,"Y",2,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"9ae60cc6-1f00-4a9a-8503-0b6fb6126d74","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.MANTIT.F.A",,"Y",1,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Mansonia",,"titillans",,"Mansonia titillans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"481ce907-aa78-444d-a31f-52cc2a6462f6","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2017-05-01T20:19Z","2017-05-02T12:04Z","2017-05-15","OSBS_057.20170502.0804.S.01",,,,"OSBS.2017.18.COQPER.F.A",,"Y",20,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"86b90e80-0f2e-4657-9cf8-7d603237a7e2","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2017-05-01T20:37Z","2017-05-02T12:54Z","2017-05-15","OSBS_055.20170502.0854.S.01",,,,"OSBS.2017.18.AEDMIT.F.A",,"Y",2,"AEDMIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"mitchellae",,"Aedes mitchellae","(Dyar)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"e4763af6-1347-412b-9fd9-8d243ee8a3db","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2017-05-01T20:37Z","2017-05-02T12:54Z","2017-05-15","OSBS_055.20170502.0854.S.01",,"OSBS.2017.18.AEDVEX.F.T",,,,"Y",5,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"e8e8248c-8479-4aaa-b885-2b7c59edf0aa","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2017-05-01T20:37Z","2017-05-02T12:54Z","2017-05-15","OSBS_055.20170502.0854.S.01",,,,"OSBS.2017.18.COQPER.F.A",,"Y",25,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"329acecb-5f43-4700-8d4d-387544b2e408","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2017-05-01T20:37Z","2017-05-02T12:54Z","2017-05-15","OSBS_055.20170502.0854.S.01",,"OSBS.2017.18.CULERR.F.T",,,,"Y",8,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"2d81ee13-33c4-44dc-af9f-33ea14de57ad","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2017-05-01T20:51Z","2017-05-02T13:14Z","2017-05-12","OSBS_054.20170502.0914.S.01",,"OSBS.2017.18.CULERR.F.T",,,,"Y",2,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"d56c070f-7116-4c8a-af7f-e5e77482ccbc","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2017-05-01T20:51Z","2017-05-02T13:14Z","2017-05-12","OSBS_054.20170502.0914.S.01",,,,"OSBS.2017.18.ANOQUA.F.A",,"Y",2,"ANOQUA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"quadrimaculatus",,"Anopheles quadrimaculatus","Say","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
