uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"61af47ab-df19-47a3-a295-e0ddf7576f27","GUAN_032.mosquitoPoint.mos","D04","GUAN","GUAN_032","2016-05-31T20:16Z","2016-06-01T10:40Z","2016-09-14","GUAN_032.20160601.0640.S.01",,,,,,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","Damaged, analysis affected",,,"T.M. Heron","Colorado Mosquito Control"
"f5042c17-55c9-4c4e-9585-ffd4a1f96d25","GUAN_038.mosquitoPoint.mos","D04","GUAN","GUAN_038","2016-05-31T20:33Z","2016-06-01T11:02Z","2016-09-14","GUAN_038.20160601.0702.S.01",,"GUAN.2016.22.AEDOBT.F.T",,,,"Y",3,"AEDOBT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"obturbator",,"Aedes obturbator","Dyar & Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"20882183-3f01-4c2a-a0c9-2b0efdbb3b2e","GUAN_038.mosquitoPoint.mos","D04","GUAN","GUAN_038","2016-05-31T20:33Z","2016-06-01T11:02Z","2016-09-14","GUAN_038.20160601.0702.S.01",,"GUAN.2016.22.CULBAH.F.T",,,,"Y",3,"CULBAH","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"bahamensis",,"Culex bahamensis","Dyar and Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"52f23436-fe32-48ab-b6ff-d9d078a60f65","GUAN_040.mosquitoPoint.mos","D04","GUAN","GUAN_040","2016-05-31T20:39Z","2016-06-01T11:12Z","2016-09-14","GUAN_040.20160601.0712.S.01",,"GUAN.2016.22.CULBAH.F.T",,,,"Y",1,"CULBAH","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"bahamensis",,"Culex bahamensis","Dyar and Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"83c1d4b3-045a-46c7-9d52-3a18101d010c","GUAN_040.mosquitoPoint.mos","D04","GUAN","GUAN_040","2016-05-31T20:39Z","2016-06-01T11:12Z","2016-09-14","GUAN_040.20160601.0712.S.01",,"GUAN.2016.22.AEDTAE.F.T",,,,"Y",1,"AEDTAE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"taeniorhynchus",,"Aedes taeniorhynchus","(Wiedemann)","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"2c07b8a6-06af-4210-a5a5-643ee7b94510","GUAN_040.mosquitoPoint.mos","D04","GUAN","GUAN_040","2016-05-31T20:39Z","2016-06-01T11:12Z","2016-09-14","GUAN_040.20160601.0712.S.01",,"GUAN.2016.22.AEDOBT.F.T",,,,"Y",1,"AEDOBT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"obturbator",,"Aedes obturbator","Dyar & Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"addffc3e-01dc-43be-86f9-5ca0e3b14951","GUAN_041.mosquitoPoint.mos","D04","GUAN","GUAN_041","2016-05-31T20:44Z","2016-06-01T11:34Z","2016-09-14","GUAN_041.20160601.0734.S.01",,,,,,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","Damaged, analysis affected",,,"A.P. Fullmer","Colorado Mosquito Control"
"e15040a0-59d8-4045-b6c1-a4cbacf5ac5e","GUAN_041.mosquitoPoint.mos","D04","GUAN","GUAN_041","2016-05-31T20:44Z","2016-06-01T11:34Z","2016-09-14","GUAN_041.20160601.0734.S.01",,"GUAN.2016.22.AEDOBT.F.T",,,,"Y",5,"AEDOBT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"obturbator",,"Aedes obturbator","Dyar & Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"A.P. Fullmer","Colorado Mosquito Control"
"7b375621-c949-4717-9eb9-fca4e90202a2","GUAN_041.mosquitoPoint.mos","D04","GUAN","GUAN_041","2016-05-31T20:44Z","2016-06-01T11:34Z","2016-09-14","GUAN_041.20160601.0734.S.01",,"GUAN.2016.22.AEDTAE.F.T",,,,"Y",2,"AEDTAE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"taeniorhynchus",,"Aedes taeniorhynchus","(Wiedemann)","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"A.P. Fullmer","Colorado Mosquito Control"
"b18673b4-a175-425d-bba8-06b1bfd71e38","GUAN_041.mosquitoPoint.mos","D04","GUAN","GUAN_041","2016-05-31T20:44Z","2016-06-01T11:34Z","2016-09-14","GUAN_041.20160601.0734.S.01",,"GUAN.2016.22.CULBAH.F.T",,,,"Y",1,"CULBAH","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"bahamensis",,"Culex bahamensis","Dyar and Knab","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"A.P. Fullmer","Colorado Mosquito Control"
