uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"4741b040-feaf-41e6-8a87-1ec12b1de6bb","LAJA_032.mosquitoPoint.mos","D04","LAJA","LAJA_032","2016-04-13T21:32Z","2016-04-14T10:19Z","2016-09-01","LAJA_032.20160414.0619.S.01",,"LAJA.2016.15.CULNIG.F.T",,,,"Y",28,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F","MOS.D04.000036|MOS.D04.000035","Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
"ae76382a-c1ec-4a33-8443-b4c634ad971c","LAJA_035.mosquitoPoint.mos","D04","LAJA","LAJA_035","2016-04-13T21:40Z","2016-04-14T10:30Z","2016-09-02","LAJA_035.20160414.0630.S.01",,"LAJA.2016.15.CULNIG.F.T",,,,"Y",3,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"4d12e59a-cb8c-40e1-903a-1cfad5fcd324","LAJA_035.mosquitoPoint.mos","D04","LAJA","LAJA_035","2016-04-13T21:40Z","2016-04-14T10:30Z","2016-09-02","LAJA_035.20160414.0630.S.01",,,,,,"Y",1,"PSOJAM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"jamaicensis",,"Psorophora jamaicensis","(Theobald)","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"15b95a8f-ee97-482b-94ef-29938097e3c4","LAJA_033.mosquitoPoint.mos","D04","LAJA","LAJA_033","2016-04-13T21:48Z","2016-04-14T10:11Z","2016-09-02","LAJA_033.20160414.0611.S.01",,"LAJA.2016.15.CULNIG.F.T",,,,"Y",9,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
"68be69b3-3067-43fd-bcef-a520b3a73650","LAJA_038.mosquitoPoint.mos","D04","LAJA","LAJA_038","2016-04-13T21:54Z","2016-04-14T10:00Z","2016-09-02","LAJA_038.20160414.0600.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
"adf8fb81-a2c8-4b04-a2ce-da15094f6a09","LAJA_036.mosquitoPoint.mos","D04","LAJA","LAJA_036","2016-04-13T22:03Z","2016-04-14T10:41Z","2016-09-02","LAJA_036.20160414.0641.S.01",,"LAJA.2016.15.CULNIG.F.T",,,,"Y",4,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
"9babf2cd-a0c6-4ac1-a521-c112582694dc","LAJA_034.mosquitoPoint.mos","D04","LAJA","LAJA_034","2016-04-13T22:09Z","2016-04-14T10:48Z","2016-09-02","LAJA_034.20160414.0648.S.01",,"LAJA.2016.15.CULNIG.F.T",,,,"Y",3,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"17806ffb-bd78-4ad5-a3d5-960296c7b90d","LAJA_034.mosquitoPoint.mos","D04","LAJA","LAJA_034","2016-04-13T22:09Z","2016-04-14T10:48Z","2016-09-02","LAJA_034.20160414.0648.S.01",,,,,,"Y",1,"PSOJAM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"jamaicensis",,"Psorophora jamaicensis","(Theobald)","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"dbfc85c8-cb84-4c62-878c-17918352343d","LAJA_031.mosquitoPoint.mos","D04","LAJA","LAJA_031","2016-04-13T22:17Z","2016-04-14T10:53Z","2016-09-01","LAJA_031.20160414.0653.S.01",,,,,,"Y",1,"PSOJAM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"jamaicensis",,"Psorophora jamaicensis","(Theobald)","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
"30b71192-0099-4740-881d-b8e726b35e41","LAJA_031.mosquitoPoint.mos","D04","LAJA","LAJA_031","2016-04-13T22:17Z","2016-04-14T10:53Z","2016-09-01","LAJA_031.20160414.0653.S.01",,,,,,"Y",1,"ANOALB","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"albimanus",,"Anopheles albimanus","Wiedemann","species","N",,"F",,"Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","No known compromise",,,"K.C. Arroyo","Colorado Mosquito Control"
