uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"baca94d8-d472-4924-9b45-448e006e9ff6","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,"STEI.2017.25.AEDCAN3.F.T",,,,"Y",63,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"c76df31a-fb5f-44df-a194-21527885a5a2","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,,,"STEI.2017.25.COQPER.M.A",,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"7becb37a-194e-40e9-b55b-7409cfc7c724","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,,,"STEI.2017.25.COQPER.F.A",,"Y",66,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"b38317c7-c079-4eab-9efa-bfb70ab5e8a6","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,"STEI.2017.25.AEDSTI.F.T",,,,"Y",32,"AEDSTI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sticticus",,"Aedes sticticus","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"9ca8c415-f449-4880-9625-a1d2eb97976d","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,"STEI.2017.25.AEDCIN.F.T",,,,"Y",1,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cinereus",,"Aedes cinereus","Meigen","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"ce8db9a3-efd9-437d-8a89-f315a04df595","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,,,"STEI.2017.25.AEDDIA.F.A",,"Y",2,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"da11d2e9-79a6-4f47-8251-ea0f4f568040","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,"STEI.2017.25.AEDINT.F.T",,,,"Y",1,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"intrudens",,"Aedes intrudens","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"fbd0e593-3e38-4c43-a4a9-a18327db7ee8","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,,,"STEI.2017.25.AEDEXC.F.A",,"Y",2,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"0d401e4e-f674-4d8b-ac1b-661682370b5d","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,,,"STEI.2017.25.AEDCOM.F.A",,"Y",2,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"211fd911-b6e2-4abf-a715-f9e6244401a2","STEI_037.mosquitoPoint.mos","D05","STEI","STEI_037","2017-06-22T00:15Z","2017-06-22T10:41Z","2017-07-29","STEI_037.20170622.0541.S.01",,"STEI.2017.25.AEDPRO.F.T",,,,"Y",1,"AEDPRO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"provocans",,"Aedes provocans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
