uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"92f3104c-ed36-414e-b4a8-5da16f5b1703","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,"TREE.2016.25.AEDDIA.F.T",,,,"Y",5,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"4920c92c-bd0d-4aea-b192-07901f843415","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,"TREE.2016.25.AEDEXC.F.T",,,,"Y",3,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1598c726-3e77-4909-9904-40d130974b0d","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,"TREE.2016.25.AEDPRO.F.T",,,,"Y",3,"AEDPRO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"provocans",,"Aedes provocans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a972156a-b4c5-4c8c-8dd9-3ae0786956ad","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,"TREE.2016.25.AEDVEX.F.T",,,,"Y",6,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F","MOS.D05.000241","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"59b04824-415b-40ba-8770-994521c073a9","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,"TREE.2016.25.AEDPUN.F.T",,,,"Y",2,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3bdca57d-8156-43eb-b9ec-966f20a0fc76","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,,,"TREE.2016.25.CULMEL.F.A",,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"melanura",,"Culiseta melanura","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"6ade007f-df5a-4018-a8f8-15e9edb60048","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,,,"TREE.2016.25.COQPER.M.A",,"Y",3,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1691d6ee-1ada-4685-bbef-2734dae7a44e","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,,,"TREE.2016.25.AEDSP.F.A",,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"f20ba874-00cc-4961-b614-9df5a7f90a62","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,,,"TREE.2016.25.AEDINT.F.A",,"Y",6,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"intrudens",,"Aedes intrudens","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"927a33df-2c49-4db9-915f-2cc57b83b53f","TREE_035.mosquitoPoint.mos","D05","TREE","TREE_035","2016-06-23T00:20Z","2016-06-23T10:13Z","2016-12-12","TREE_035.20160623.0513.S.01",,,,"TREE.2016.25.COQPER.F.A",,"Y",143,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
