uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"008ae62a-b2c2-4810-bbec-6edbaf336ca5","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2017-05-03T23:26Z","2017-05-04T11:14Z","2017-05-23","UNDE_072.20170504.0614.S.01",,,,"UNDE.2017.18.CULMIN.F.A",,"Y",7,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"2992aba6-b82b-47e9-8ee9-de20d4c4fbfd","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2017-05-03T23:26Z","2017-05-04T11:14Z","2017-05-23","UNDE_072.20170504.0614.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",7,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"63458b8d-eca8-48e0-912c-2120614650a3","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2017-05-03T23:44Z","2017-05-04T11:31Z","2017-05-23","UNDE_071.20170504.0631.S.01",,,,"UNDE.2017.18.CULMIN.F.A",,"Y",6,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"964700f6-8bed-4102-8412-d8f7f7576b3f","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2017-05-03T23:44Z","2017-05-04T11:31Z","2017-05-23","UNDE_071.20170504.0631.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",9,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"05144e22-cbee-46ce-a85b-55bc1947f688","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2017-05-03T23:51Z","2017-05-04T11:38Z","2017-05-23","UNDE_066.20170504.0638.S.01",,,,"UNDE.2017.18.CULMIN.F.A",,"Y",7,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"af46cab3-f3eb-4654-a3ae-bbd207ab0112","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2017-05-03T23:51Z","2017-05-04T11:38Z","2017-05-23","UNDE_066.20170504.0638.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",4,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"77bb0855-b2cd-4acf-a2f0-b955a7eebb30","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2017-05-04T00:01Z","2017-05-04T11:44Z","2017-05-23","UNDE_075.20170504.0644.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",2,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"a0f47fa8-97d3-44f7-896f-bccfe412e9e4","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2017-05-04T00:01Z","2017-05-04T11:44Z","2017-05-23","UNDE_075.20170504.0644.S.01",,,,"UNDE.2017.18.CULMIN.F.A",,"Y",14,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","N",,"F","MOS.D05.000480","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"d0a0f6d3-8f64-479b-8aeb-f5122c8796c0","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2017-05-04T00:08Z","2017-05-04T11:52Z","2017-05-23","UNDE_073.20170504.0652.S.01",,,,"UNDE.2017.18.CULMIN.F.A",,"Y",12,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"c0fc76c9-f868-4a76-9735-b6c0b479899e","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2017-05-04T00:08Z","2017-05-04T11:52Z","2017-05-23","UNDE_073.20170504.0652.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",4,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
"60f65a02-99ff-4061-8714-085ee2401895","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2017-05-04T00:18Z","2017-05-04T12:02Z","2017-05-23","UNDE_070.20170504.0702.S.01",,,,"UNDE.2017.18.ANOPUN.F.A",,"Y",5,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey"
