uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"35f1a502-3f31-4ebd-9c9f-293d9beb56df","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.PSOCOL.F.A",,"Y",23,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"b8f41677-3e90-46b3-abec-399e8053a03b","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,"KONA.2017.34.CULTAR.F.T",,,,"Y",29,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F","MOS.D06.000220|MOS.D06.000219","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"34934456-34ab-4603-b312-85c614249382","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.PSOCIL.F.A",,"Y",1,"PSOCIL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ciliata",,"Psorophora ciliata","(Fabricus)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"2081f2f0-9c05-4ab0-be7b-a38e73bb24fb","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-19","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.PSODIS.F.A",,"Y",12,"PSODIS","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"discolor",,"Psorophora discolor","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"746e1592-520e-4c7f-9a4f-8ef0cdd368bc","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,"KONA.2017.34.AEDVEX.F.T",,,,"Y",5,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F","MOS.D06.000218","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"3f5ebb76-0934-4aac-900c-624aa2a6c456","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.AEDSOL.F.A",,"Y",3,"AEDSOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sollicitans",,"Aedes sollicitans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"63765394-5ee2-454e-9407-4c881ae487ac","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,"KONA.2017.34.CULPIP.F.T",,,,"Y",39,"CULPIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"pipiens",,"Culex pipiens","Linnaeus","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"9da070ff-b415-4572-a22b-7b14f2054aad","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.PSOCYA.F.A",,"Y",1,"PSOCYA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"cyanescens",,"Psorophora cyanescens","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"ca66da49-cbff-4649-a363-bf1dd56319cd","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,,,"KONA.2017.34.AEDTRI.F.A",,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"cd2a98aa-f8c5-4b0f-a21c-cd1552e5d3fc","KONA_037.mosquitoPoint.mos","D06","KONA","KONA_037","2017-08-23T22:45Z","2017-08-24T12:06Z","2017-10-18","KONA_037.20170824.0706.S.01",,"KONA.2017.34.CULSAL.F.T",,,,"Y",33,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
