uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"0c1e1931-7d87-4673-ad48-b1f87403a727","KONZ_034.mosquitoPoint.mos","D06","KONZ","KONZ_034","2016-05-04T21:47Z","2016-05-05T12:41Z","2016-06-29","KONZ_034.20160505.0741.S.01",,,,"KONZ.2016.18.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"790c5a7f-fff1-4eac-ad6a-76abb73bea50","KONZ_035.mosquitoPoint.mos","D06","KONZ","KONZ_035","2016-05-04T22:12Z","2016-05-05T12:56Z","2016-06-29","KONZ_035.20160505.0756.S.01",,,,"KONZ.2016.18.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"09095736-ae16-4890-b9b4-f6b371589975","KONZ_040.mosquitoPoint.mos","D06","KONZ","KONZ_040","2016-05-04T22:29Z","2016-05-05T13:13Z","2016-06-29","KONZ_040.20160505.0813.S.01",,,,"KONZ.2016.18.CULINO.F.A",,"Y",4,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"c280501d-f2b5-4693-87c1-139b590bb56f","KONZ_041.mosquitoPoint.mos","D06","KONZ","KONZ_041","2016-05-04T22:36Z","2016-05-05T13:18Z","2016-06-29","KONZ_041.20160505.0818.S.01",,,,"KONZ.2016.18.CULINO.F.A",,"Y",4,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"7a7d8a3e-d370-44f0-9d0e-1d469628e848","KONZ_032.mosquitoPoint.mos","D06","KONZ","KONZ_032","2016-05-04T22:56Z","2016-05-05T12:16Z","2016-06-29","KONZ_032.20160505.0716.S.01",,,,"KONZ.2016.18.AEDNIG.F.A",,"Y",1,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"0ab79f2f-0c00-47b6-869b-249c426746f1","KONZ_038.mosquitoPoint.mos","D06","KONZ","KONZ_038","2016-05-04T23:06Z","2016-05-05T12:25Z","2016-06-29","KONZ_038.20160505.0725.S.01",,,,"KONZ.2016.18.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"5603f853-a6be-4f04-8c0b-06cc6c815abc","KONZ_039.mosquitoPoint.mos","D06","KONZ","KONZ_039","2016-05-04T23:44Z","2016-05-05T11:51Z","2016-06-29","KONZ_039.20160505.0651.S.01",,,,,,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F","MOS.D06.000002","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"fcd815c6-b473-4cd8-9339-6213a08dd71e","KONZ_034.mosquitoPoint.mos","D06","KONZ","KONZ_034","2016-05-18T22:12Z","2016-05-19T11:56Z","2016-06-29","KONZ_034.20160519.0656.S.01",,,,"KONZ.2016.20.AEDNIG.F.A",,"Y",1,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"2eee2620-1424-44bf-897a-611b1837496c","KONZ_034.mosquitoPoint.mos","D06","KONZ","KONZ_034","2016-05-18T22:12Z","2016-05-19T11:56Z","2016-06-29","KONZ_034.20160519.0656.S.01",,"KONZ.2016.20.AEDVEX.F.T",,,,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"3dcff476-d365-4d37-9253-bb96733bd35d","KONZ_035.mosquitoPoint.mos","D06","KONZ","KONZ_035","2016-05-18T22:34Z","2016-05-19T12:12Z","2016-06-29","KONZ_035.20160519.0712.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"982ca4fc-89c0-4b45-894e-f49c970cc8fe","KONZ_040.mosquitoPoint.mos","D06","KONZ","KONZ_040","2016-05-18T22:52Z","2016-05-19T12:32Z","2016-06-29","KONZ_040.20160519.0732.S.01",,,,"KONZ.2016.20.AEDTRI.F.A",,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"9a11fb4d-30ca-4242-865d-d6923b589d80","KONZ_040.mosquitoPoint.mos","D06","KONZ","KONZ_040","2016-05-18T22:52Z","2016-05-19T12:32Z","2016-06-30","KONZ_040.20160519.0732.S.01",,,,"KONZ.2016.20.PSODIS.F.A",,"Y",1,"PSODIS","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"discolor",,"Psorophora discolor","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"4b9e4b81-9d6c-4bd3-b92e-bf30559155ea","KONZ_041.mosquitoPoint.mos","D06","KONZ","KONZ_041","2016-05-18T22:58Z","2016-05-19T12:38Z","2016-06-29","KONZ_041.20160519.0738.S.01",,"KONZ.2016.20.AEDVEX.F.T",,,,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"fcdcdcab-0101-4081-af8a-d15f962a4fc6","KONZ_041.mosquitoPoint.mos","D06","KONZ","KONZ_041","2016-05-18T22:58Z","2016-05-19T12:38Z","2016-06-30","KONZ_041.20160519.0738.S.01",,,,"KONZ.2016.20.CULTAR.F.A",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Colorado Mosquito Control"
"be64bc0c-a0b5-4142-b8a2-41fae2d5dc1b","KONZ_032.mosquitoPoint.mos","D06","KONZ","KONZ_032","2016-05-18T23:09Z","2016-05-19T12:47Z","2016-06-29","KONZ_032.20160519.0747.S.01",,,,"KONZ.2016.20.CULTAR.F.A",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"74632101-accf-40e4-a370-293c3154441d","KONZ_038.mosquitoPoint.mos","D06","KONZ","KONZ_038","2016-05-18T23:19Z","2016-05-19T12:57Z","2016-06-29","KONZ_038.20160519.0757.S.01",,,,"KONZ.2016.20.CULSP1.F.A",,"Y",1,"CULSPP3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"sp.",,"Culex sp.",,"genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Colorado Mosquito Control"
"e5d324e8-17df-438e-8099-a2232d921eb3","KONZ_038.mosquitoPoint.mos","D06","KONZ","KONZ_038","2016-05-18T23:19Z","2016-05-19T12:57Z","2016-06-29","KONZ_038.20160519.0757.S.01",,,,"KONZ.2016.20.AEDTRI.F.A",,"Y",10,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F","MOS.D06.000005|MOS.D06.000003|MOS.D06.000004","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"91e3f36c-fa6f-4339-99e6-22cca6762ef6","KONZ_038.mosquitoPoint.mos","D06","KONZ","KONZ_038","2016-05-18T23:19Z","2016-05-19T12:57Z","2016-06-29","KONZ_038.20160519.0757.S.01",,,,"KONZ.2016.20.AEDNIG.F.A",,"Y",3,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"76801bd0-b147-4014-86fb-facf22e9f11d","KONZ_038.mosquitoPoint.mos","D06","KONZ","KONZ_038","2016-05-18T23:19Z","2016-05-19T12:57Z","2016-06-29","KONZ_038.20160519.0757.S.01",,,,"KONZ.2016.20.PSODIS.F.A",,"Y",1,"PSODIS","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"discolor",,"Psorophora discolor","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
