uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"213b811b-cf2e-4003-8668-2dfd49fd05f3","UKFS_041.mosquitoPoint.mos","D06","UKFS","UKFS_041","2016-06-22T22:22Z","2016-06-23T13:07Z","2016-11-22","UKFS_041.20160623.0807.S.01",,,,"UKFS.2016.25.AEDNIG.F.A",,"Y",4,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"9265cbd3-5574-4967-9730-caeb889e90de","UKFS_041.mosquitoPoint.mos","D06","UKFS","UKFS_041","2016-06-22T22:22Z","2016-06-23T13:07Z","2016-11-22","UKFS_041.20160623.0807.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F","MOS.D06.000075","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"56c7f859-66cb-43bb-bf6b-86de636191b4","UKFS_041.mosquitoPoint.mos","D06","UKFS","UKFS_041","2016-06-22T22:22Z","2016-06-23T13:07Z","2016-11-22","UKFS_041.20160623.0807.S.01",,"UKFS.2016.25.AEDVEX.F.T",,,,"Y",74,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"0dfb3455-1d87-4708-8b3a-2cd5dc02ef2f","UKFS_033.mosquitoPoint.mos","D06","UKFS","UKFS_033","2016-06-22T22:44Z","2016-06-23T13:28Z","2016-11-16","UKFS_033.20160623.0828.S.01",,"UKFS.2016.25.AEDVEX.F.T",,,,"Y",20,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"S.N. Ward","Vector Disease Control International"
"43abae22-4c2c-464f-8d11-a13dfa875fc7","UKFS_033.mosquitoPoint.mos","D06","UKFS","UKFS_033","2016-06-22T22:44Z","2016-06-23T13:28Z","2016-11-16","UKFS_033.20160623.0828.S.01",,,,"UKFS.2016.25.ANOQUA.F.A",,"Y",1,"ANOQUA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"quadrimaculatus",,"Anopheles quadrimaculatus","Say","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"S.N. Ward","Vector Disease Control International"
"afbe62fc-6dac-4f44-924a-8dd6f19869b5","UKFS_033.mosquitoPoint.mos","D06","UKFS","UKFS_033","2016-06-22T22:44Z","2016-06-23T13:28Z","2016-11-16","UKFS_033.20160623.0828.S.01",,"UKFS.2016.25.CULERR.F.T",,,,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"S.N. Ward","Vector Disease Control International"
"d5142a7d-95ad-4855-80f5-87d0156b9468","UKFS_040.mosquitoPoint.mos","D06","UKFS","UKFS_040","2016-06-22T23:07Z","2016-06-23T13:41Z","2016-11-22","UKFS_040.20160623.0841.S.01",,"UKFS.2016.25.CULERR.F.T",,,,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"19cc690d-89a8-4e06-94f2-95b3634dcf3c","UKFS_040.mosquitoPoint.mos","D06","UKFS","UKFS_040","2016-06-22T23:07Z","2016-06-23T13:41Z","2016-11-22","UKFS_040.20160623.0841.S.01",,"UKFS.2016.25.AEDVEX.F.T",,,,"Y",199,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"baf17ad1-ec66-43f2-a94f-f9df88bd8f86","UKFS_040.mosquitoPoint.mos","D06","UKFS","UKFS_040","2016-06-22T23:07Z","2016-06-23T13:41Z","2016-11-22","UKFS_040.20160623.0841.S.01",,,,"UKFS.2016.25.AEDTRI.F.A",,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"723787f3-0414-4a4f-8b53-accb9482db2c","UKFS_040.mosquitoPoint.mos","D06","UKFS","UKFS_040","2016-06-22T23:07Z","2016-06-23T13:41Z","2016-11-22","UKFS_040.20160623.0841.S.01",,,,"UKFS.2016.25.COQPER.F.A",,"Y",4,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
