uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"880d07c3-6c2d-4cb6-85d7-d700409e55c5","GRSM_044.mosquitoPoint.mos","D07","GRSM","GRSM_044","2017-03-20T20:54Z","2017-03-21T11:31Z","2017-03-28","GRSM_044.20170321.0731.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"1416ed08-0e6b-4bdc-8efb-f8d7182c0ee5","GRSM_039.mosquitoPoint.mos","D07","GRSM","GRSM_039","2017-03-20T21:13Z","2017-03-21T11:48Z","2017-03-28","GRSM_039.20170321.0748.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"4d529741-4441-41b5-ac0e-521e5a4b5e18","GRSM_042.mosquitoPoint.mos","D07","GRSM","GRSM_042","2017-03-20T21:37Z","2017-03-21T12:12Z","2017-03-28","GRSM_042.20170321.0812.S.01",,,,"GRSM.2017.12.ANOPUN.F.A",,"Y",2,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"dc775e12-7249-4759-80d5-691fe20f6441","GRSM_045.mosquitoPoint.mos","D07","GRSM","GRSM_045","2017-03-20T22:39Z","2017-03-21T13:19Z","2017-03-28","GRSM_045.20170321.0919.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"aa34e7a5-b5b4-47d2-a750-cb8f4982f76e","GRSM_040.mosquitoPoint.mos","D07","GRSM","GRSM_040","2017-03-20T22:49Z","2017-03-21T13:30Z","2017-03-28","GRSM_040.20170321.0930.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"3b9c1d0d-fde6-4cd4-9a4b-dd298f1371ba","GRSM_046.mosquitoPoint.mos","D07","GRSM","GRSM_046","2017-03-20T23:10Z","2017-03-21T13:52Z","2017-03-28","GRSM_046.20170321.0952.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"94eff16a-4622-469e-85aa-b01f071ded94","GRSM_043.mosquitoPoint.mos","D07","GRSM","GRSM_043","2017-03-20T23:25Z","2017-03-21T14:08Z","2017-03-28","GRSM_043.20170321.1008.S.01",,,,"GRSM.2017.12.CULRES.F.A",,"Y",1,"CULRES","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"restuans",,"Culex restuans","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"53ae0f87-cf22-4456-9e1b-8e2b36cd79d7","GRSM_037.mosquitoPoint.mos","D07","GRSM","GRSM_037","2017-03-20T23:33Z","2017-03-21T14:20Z","2017-03-28","GRSM_037.20170321.1020.S.01",,,,"GRSM.2017.12.ANOPUN.F.A",,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"b1882c77-343b-44b9-9149-05abe6f736b9","GRSM_044.mosquitoPoint.mos","D07","GRSM","GRSM_044","2017-03-21T20:38Z","2017-03-22T11:50Z","2017-03-28","GRSM_044.20170322.0750.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"8a9da9f1-fc93-4936-bd50-03fa566305ea","GRSM_039.mosquitoPoint.mos","D07","GRSM","GRSM_039","2017-03-21T20:57Z","2017-03-22T12:03Z","2017-03-28","GRSM_039.20170322.0803.S.01",,,,"GRSM.2017.12.ANOPUN.F.A",,"Y",3,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
