uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"7c212c35-037d-44ec-866b-70cfe05dc7a1","MLBS_038.mosquitoPoint.mos","D07","MLBS","MLBS_038","2018-05-29T21:16Z","2018-05-30T10:43Z","2018-06-01","MLBS_038.20180530.0643.S.01",,,,,,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"f207a4f2-308b-4226-bbf5-0d97258ecc5c","MLBS_041.mosquitoPoint.mos","D07","MLBS","MLBS_041","2018-05-29T21:25Z","2018-05-30T10:52Z","2018-06-01","MLBS_041.20180530.0652.S.01",,,,,,"Y",1,"CULSPP3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"sp.",,"Culex sp.",,"genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"8a89450d-28f3-4740-98c5-eee573d1e206","MLBS_041.mosquitoPoint.mos","D07","MLBS","MLBS_041","2018-05-29T21:25Z","2018-05-30T10:52Z","2018-06-01","MLBS_041.20180530.0652.S.01",,,,,,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"ef4a033b-494e-4b07-95ac-56159069b4e8","MLBS_039.mosquitoPoint.mos","D07","MLBS","MLBS_039","2018-05-29T21:42Z","2018-05-30T10:59Z","2018-06-01","MLBS_039.20180530.0659.S.01",,,,,,"Y",3,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"4abfb1dc-7698-4dad-bc16-cabac216a3ad","MLBS_036.mosquitoPoint.mos","D07","MLBS","MLBS_036","2018-05-29T22:03Z","2018-05-30T11:19Z","2018-06-01","MLBS_036.20180530.0719.S.01",,,,,,"Y",1,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"ddc32532-45ed-47d0-887c-c283c40a9db0","MLBS_040.mosquitoPoint.mos","D07","MLBS","MLBS_040","2018-05-29T22:12Z","2018-05-30T11:28Z","2018-06-01","MLBS_040.20180530.0728.S.01",,,,,,"Y",6,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"35ff28c9-adf5-490e-9d42-21c3d673392b","MLBS_035.mosquitoPoint.mos","D07","MLBS","MLBS_035","2018-05-29T22:20Z","2018-05-30T11:34Z","2018-06-01","MLBS_035.20180530.0734.S.01",,,,,,"Y",1,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"0aa8e97e-6a4c-4c9b-a80e-91f3f4e2f600","MLBS_033.mosquitoPoint.mos","D07","MLBS","MLBS_033","2018-05-29T22:27Z","2018-05-30T11:43Z","2018-06-01","MLBS_033.20180530.0743.S.01",,,,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"57f05b79-1635-4fe9-8a44-cde9ea362705","MLBS_033.mosquitoPoint.mos","D07","MLBS","MLBS_033","2018-05-29T22:27Z","2018-05-30T11:43Z","2018-06-01","MLBS_033.20180530.0743.S.01",,,,,,"Y",1,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"fa5473e3-a36c-439e-a362-f2ef6afc5123","MLBS_034.mosquitoPoint.mos","D07","MLBS","MLBS_034","2018-05-29T22:47Z","2018-05-30T11:59Z","2018-06-01","MLBS_034.20180530.0759.S.01",,,,,,"Y",2,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Aedes",,"canadensis","canadensis","Aedes canadensis canadensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"0e99356a-40f2-4912-8a58-beca06f22302","MLBS_043.mosquitoPoint.mos","D07","MLBS","MLBS_043","2018-05-29T23:05Z","2018-05-30T12:13Z","2018-06-01","MLBS_043.20180530.0813.S.01",,,,,,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
