uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"daa79fe1-0209-45f8-89dd-2d375c4a4cf3","DELA_033.mosquitoPoint.mos","D08","DELA","DELA_033","2016-08-23T22:06Z","2016-08-24T12:45Z","2016-10-21","DELA_033.20160824.0745.S.01",,"DELA.2016.34.CULERR.F.T",,,,"Y",24,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"8717d061-c856-4912-b9dd-5745a795c468","DELA_033.mosquitoPoint.mos","D08","DELA","DELA_033","2016-08-23T22:06Z","2016-08-24T12:45Z","2016-10-21","DELA_033.20160824.0745.S.01",,"DELA.2016.34.CULNIG.F.T",,,,"Y",8,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"e22b9f27-d574-4761-99f2-6880cb301192","DELA_036.mosquitoPoint.mos","D08","DELA","DELA_036","2016-08-23T22:15Z","2016-08-24T12:37Z","2016-10-21","DELA_036.20160824.0737.S.01",,"DELA.2016.34.CULERR.F.T",,,,"Y",10,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"2bca316d-b892-4cc8-b0c0-d1093f404fcb","DELA_036.mosquitoPoint.mos","D08","DELA","DELA_036","2016-08-23T22:15Z","2016-08-24T12:37Z","2016-10-21","DELA_036.20160824.0737.S.01",,,,,,"Y",1,"AEDALB","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"albopictus",,"Aedes albopictus","(Skuse)","species","I",,"F","MOS.D08.000347","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"396f7cc5-b82f-47e1-9b35-2f0d70cb4e58","DELA_036.mosquitoPoint.mos","D08","DELA","DELA_036","2016-08-23T22:15Z","2016-08-24T12:37Z","2016-10-21","DELA_036.20160824.0737.S.01",,"DELA.2016.34.CULNIG.F.T",,,,"Y",4,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F","MOS.D08.000348|MOS.D08.000350|MOS.D08.000349","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"7080974a-9cd4-4eaf-8583-31f158cd7db1","DELA_035.mosquitoPoint.mos","D08","DELA","DELA_035","2016-08-23T22:31Z","2016-08-24T12:20Z","2016-10-21","DELA_035.20160824.0720.S.01",,"DELA.2016.34.CULERR.F.T",,,,"Y",16,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"7f836f3d-b1a6-4dce-9bd7-6774744eeb8c","DELA_035.mosquitoPoint.mos","D08","DELA","DELA_035","2016-08-23T22:31Z","2016-08-24T12:20Z","2016-10-21","DELA_035.20160824.0720.S.01",,"DELA.2016.34.CULNIG.F.T",,,,"Y",14,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"nigripalpus",,"Culex nigripalpus","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"dd089678-102e-49cd-8964-6a811e59fa16","DELA_035.mosquitoPoint.mos","D08","DELA","DELA_035","2016-08-23T22:31Z","2016-08-24T12:20Z","2016-10-21","DELA_035.20160824.0720.S.01",,"DELA.2016.34.AEDVEX.F.T",,,,"Y",8,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"702845e7-135b-4e50-9d24-5cbb135d4b08","DELA_035.mosquitoPoint.mos","D08","DELA","DELA_035","2016-08-23T22:31Z","2016-08-24T12:20Z","2016-10-21","DELA_035.20160824.0720.S.01",,,,"DELA.2016.34.COQPER.F.A",,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"def5b612-4e95-424e-b12b-f0f181968ba4","DELA_035.mosquitoPoint.mos","D08","DELA","DELA_035","2016-08-23T22:31Z","2016-08-24T12:20Z","2016-10-21","DELA_035.20160824.0720.S.01",,,,"DELA.2016.34.AEDSP.F.A",,"Y",2,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"T.M. Heron","Vector Disease Control International"
