uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"2f9a6a09-7d8e-4fe3-8516-8984279251be","TALL_033.mosquitoPoint.mos","D08","TALL","TALL_033","2014-06-30T21:25Z","2014-07-01T12:44Z","2014-10-06","TALL_033.20140701.0744.S.01",,,,"TALL.2014.26.PSOFER.F.A",,"Y",1,"PSOFER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ferox",,"Psorophora ferox","Humboldt","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"e5dc7299-4258-4da5-92dc-a3ee7557db03","TALL_033.mosquitoPoint.mos","D08","TALL","TALL_033","2014-06-30T21:25Z","2014-07-01T12:44Z","2014-10-06","TALL_033.20140701.0744.S.01",,,,"TALL.2014.26.PSOCIL.F.A",,"Y",1,"PSOCIL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ciliata",,"Psorophora ciliata","(Fabricus)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"d54d71c2-1f0b-440b-b6b1-e7abea1b1487","TALL_033.mosquitoPoint.mos","D08","TALL","TALL_033","2014-06-30T21:25Z","2014-07-01T12:44Z","2014-10-06","TALL_033.20140701.0744.S.01",,"TALL.2014.26.AEDCAN2.F.T",,"TALL.2014.26.AEDCAN2.F.A",,"Y",11,"AEDCAN2","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"canadensis",,"Aedes canadensis","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"2f43e4ba-ee58-49a3-8149-b67cedbec237","TALL_033.mosquitoPoint.mos","D08","TALL","TALL_033","2014-06-30T21:25Z","2014-07-01T12:44Z","2014-10-06","TALL_033.20140701.0744.S.01",,,,"TALL.2014.26.AEDSPP.F.A",,"Y",2,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"b540cc86-7283-4ad0-a70b-409d700f9ae9","TALL_034.mosquitoPoint.mos","D08","TALL","TALL_034","2014-06-30T21:48Z","2014-07-01T12:58Z","2014-10-06","TALL_034.20140701.0758.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,"Other","No known compromise","no mosquitoes in sample",,"M.J. Weissmann","Colorado Mosquito Control"
"8e50b2bb-4b45-47ce-9e96-8e56f1f275cc","TALL_028.mosquitoPoint.mos","D08","TALL","TALL_028","2014-06-30T21:53Z","2014-07-01T13:08Z","2014-10-06","TALL_028.20140701.0808.S.01",,"TALL.2014.26.COQPER.F.T",,,,"Y",3,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"5bd0489b-4178-406f-b0f2-9940f3a40695","TALL_039.mosquitoPoint.mos","D08","TALL","TALL_039","2014-06-30T21:58Z","2014-07-01T13:15Z","2014-10-07","TALL_039.20140701.0815.S.01",,"TALL.2014.26.COQPER.F.T",,,,"Y",8,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"fed50371-d401-46f0-bac9-e9d799323800","TALL_039.mosquitoPoint.mos","D08","TALL","TALL_039","2014-06-30T21:58Z","2014-07-01T13:15Z","2014-10-07","TALL_039.20140701.0815.S.01",,,,"TALL.2014.26.AEDSPP.F.A",,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"9f496cb7-bb62-424f-aa7e-d59e7694357a","TALL_039.mosquitoPoint.mos","D08","TALL","TALL_039","2014-06-30T21:58Z","2014-07-01T13:15Z","2014-10-07","TALL_039.20140701.0815.S.01",,"TALL.2014.26.AEDCAN2.F.T",,"TALL.2014.26.AEDCAN2.F.A",,"Y",1,"AEDCAN2","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"canadensis",,"Aedes canadensis","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"5ae01f23-cffe-48fc-9cf2-6707fd93ae0c","TALL_038.mosquitoPoint.mos","D08","TALL","TALL_038","2014-06-30T22:07Z","2014-07-01T13:18Z","2014-10-07","TALL_038.20140701.0818.S.01",,,,"TALL.2014.26.AEDATL.F.A",,"Y",1,"AEDATL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"atlanticus",,"Aedes atlanticus","Dyar and Knab","species","N",,"F","MOS.D08.000012","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"1e19bdeb-eee4-4558-bf25-867ec919f3c8","TALL_038.mosquitoPoint.mos","D08","TALL","TALL_038","2014-06-30T22:07Z","2014-07-01T13:18Z","2014-10-07","TALL_038.20140701.0818.S.01",,"TALL.2014.26.COQPER.F.T",,,,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"974d74e0-f5f5-490d-a87f-dcea8edce2e6","TALL_038.mosquitoPoint.mos","D08","TALL","TALL_038","2014-06-30T22:07Z","2014-07-01T13:18Z","2014-10-07","TALL_038.20140701.0818.S.01",,,,"TALL.2014.26.AEDVEX.F.A",,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"6f93e944-d101-458c-bcfb-3e2d1b769da4","TALL_038.mosquitoPoint.mos","D08","TALL","TALL_038","2014-06-30T22:07Z","2014-07-01T13:18Z","2014-10-07","TALL_038.20140701.0818.S.01",,"TALL.2014.26.AEDCAN2.F.T",,"TALL.2014.26.AEDCAN2.F.A",,"Y",1,"AEDCAN2","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"canadensis",,"Aedes canadensis","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"36e6d565-a712-4f29-9043-8b63d6759b8c","TALL_037.mosquitoPoint.mos","D08","TALL","TALL_037","2014-06-30T22:18Z","2014-07-01T13:37Z","2014-10-07","TALL_037.20140701.0837.S.01",,"TALL.2014.26.COQPER.F.T",,,,"Y",3,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"01afaea0-9b3e-420e-9f55-dcdfa0a9810f","TALL_037.mosquitoPoint.mos","D08","TALL","TALL_037","2014-06-30T22:18Z","2014-07-01T13:37Z","2014-10-07","TALL_037.20140701.0837.S.01",,,,"TALL.2014.26.AEDSPP.F.A",,"Y",5,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"11da9078-31e4-4777-8c74-12043f119dda","TALL_036.mosquitoPoint.mos","D08","TALL","TALL_036","2014-06-30T22:26Z","2014-07-01T13:41Z","2014-10-07","TALL_036.20140701.0841.S.01",,,,"TALL.2014.26.AEDATL.F.A",,"Y",1,"AEDATL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"atlanticus",,"Aedes atlanticus","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"6e98e462-5164-44f4-91a1-b084d67d5a0f","TALL_041.mosquitoPoint.mos","D08","TALL","TALL_041","2014-06-30T22:39Z","2014-07-01T13:54Z","2014-10-07","TALL_041.20140701.0854.S.01",,"TALL.2014.26.COQPER.F.T",,,,"Y",14,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"25ec3ca7-1b4b-48ab-a8c4-47afd5545114","TALL_041.mosquitoPoint.mos","D08","TALL","TALL_041","2014-06-30T22:39Z","2014-07-01T13:54Z","2014-10-07","TALL_041.20140701.0854.S.01",,,,"TALL.2014.26.PSOFER.F.A",,"Y",1,"PSOFER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ferox",,"Psorophora ferox","Humboldt","species","N",,"F","MOS.D08.000112","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"614d9765-963d-4902-9cc7-5b00405bc498","TALL_041.mosquitoPoint.mos","D08","TALL","TALL_041","2014-06-30T22:39Z","2014-07-01T13:54Z","2014-10-07","TALL_041.20140701.0854.S.01",,,,"TALL.2014.26.CULERR.F.A",,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
