uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"96a0aaa4-de97-4ea3-bceb-1f0076a3ec37","NOGP_034.mosquitoPoint.mos","D09","NOGP","NOGP_034","2018-06-04T22:34Z","2018-06-05T14:01Z","2018-06-14","NOGP_034.20180605.0901.S.01",,,,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"867a4298-1577-45e3-84ff-b4a1df32857f","NOGP_034.mosquitoPoint.mos","D09","NOGP","NOGP_034","2018-06-04T22:34Z","2018-06-05T14:01Z","2018-06-14","NOGP_034.20180605.0901.S.01",,,,,,"Y",49,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"57f262cd-213e-4954-93d0-3df82d0c1683","NOGP_032.mosquitoPoint.mos","D09","NOGP","NOGP_032","2018-06-04T22:43Z","2018-06-05T14:08Z","2018-06-14","NOGP_032.20180605.0908.S.01",,,,,,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F","MOS.D09.000230","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"95053839-0da6-4523-8ae7-9d036219a32b","NOGP_032.mosquitoPoint.mos","D09","NOGP","NOGP_032","2018-06-04T22:43Z","2018-06-05T14:08Z","2018-06-14","NOGP_032.20180605.0908.S.01",,,,,,"Y",6,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"52554943-62bc-4c16-bfe0-e2d59cc75260","NOGP_032.mosquitoPoint.mos","D09","NOGP","NOGP_032","2018-06-04T22:43Z","2018-06-05T14:08Z","2018-06-14","NOGP_032.20180605.0908.S.01",,,,,,"Y",2,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F","MOS.D09.000229","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"012b14de-96ad-449c-96e6-edbd294d05db","NOGP_032.mosquitoPoint.mos","D09","NOGP","NOGP_032","2018-06-04T22:43Z","2018-06-05T14:08Z","2018-06-14","NOGP_032.20180605.0908.S.01",,,,,,"Y",47,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"1fd59063-ab5c-4543-b043-a5cbe3ab4c2b","NOGP_033.mosquitoPoint.mos","D09","NOGP","NOGP_033","2018-06-04T23:05Z","2018-06-05T14:30Z","2018-06-14","NOGP_033.20180605.0930.S.01",,,,,,"Y",126,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"b35f2ffa-bd70-4f09-91aa-41118ec745d9","NOGP_033.mosquitoPoint.mos","D09","NOGP","NOGP_033","2018-06-04T23:05Z","2018-06-05T14:30Z","2018-06-14","NOGP_033.20180605.0930.S.01",,,,,,"Y",12,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"55797de0-1024-4f47-9464-ee48e494bd1d","NOGP_033.mosquitoPoint.mos","D09","NOGP","NOGP_033","2018-06-04T23:05Z","2018-06-05T14:30Z","2018-06-14","NOGP_033.20180605.0930.S.01",,,,,,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"f91e63c8-e943-4009-9e0e-70715e626408","NOGP_033.mosquitoPoint.mos","D09","NOGP","NOGP_033","2018-06-04T23:05Z","2018-06-05T14:30Z","2018-06-14","NOGP_033.20180605.0930.S.01",,,,,,"Y",1,"AEDFLA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"flavescens",,"Aedes flavescens","(Muller)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"3ebe326f-04f6-4d8d-ad56-a7d48662b62f","NOGP_035.mosquitoPoint.mos","D09","NOGP","NOGP_035","2018-06-04T23:11Z","2018-06-05T14:37Z","2018-06-14","NOGP_035.20180605.0937.S.01",,,,,,"Y",35,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"34545ea8-d0bf-47f6-ae6f-1065719bf437","NOGP_035.mosquitoPoint.mos","D09","NOGP","NOGP_035","2018-06-04T23:11Z","2018-06-05T14:37Z","2018-06-14","NOGP_035.20180605.0937.S.01",,,,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"f7e1b6c5-7375-44d9-bd57-bc1f4a7ba2d5","NOGP_038.mosquitoPoint.mos","D09","NOGP","NOGP_038","2018-06-04T23:44Z","2018-06-05T14:50Z","2018-06-14","NOGP_038.20180605.0950.S.01",,,,,,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
