uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"01e1ceff-0839-48b8-93a6-45dd75c6bee5","WOOD_036.mosquitoPoint.mos","D09","WOOD","WOOD_036","2016-05-31T10:47Z","2016-06-01T11:52Z","2016-10-04","WOOD_036.20160601.0652.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"H.M. Ward","Vector Disease Control International"
"8038a828-60fc-4f93-95c1-667733445479","WOOD_035.mosquitoPoint.mos","D09","WOOD","WOOD_035","2016-05-31T22:58Z","2016-06-01T12:07Z","2016-10-04","WOOD_035.20160601.0707.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"H.M. Ward","Vector Disease Control International"
"68174ab9-30db-4a0c-9fbe-a0f0a580fb8f","WOOD_034.mosquitoPoint.mos","D09","WOOD","WOOD_034","2016-05-31T23:05Z","2016-06-01T12:21Z","2016-10-04","WOOD_034.20160601.0721.S.01",,,,"WOOD.2016.22.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
"ac1339ad-6c3e-490e-a24e-ef795013b939","WOOD_039.mosquitoPoint.mos","D09","WOOD","WOOD_039","2016-05-31T23:11Z","2016-06-01T12:25Z","2016-10-04","WOOD_039.20160601.0725.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"T.M. Heron","Vector Disease Control International"
"9bd6197a-885e-4d6b-99d5-596d5cf24886","WOOD_033.mosquitoPoint.mos","D09","WOOD","WOOD_033","2016-05-31T23:30Z","2016-06-01T12:44Z","2016-10-04","WOOD_033.20160601.0744.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"B.T. Hiatt","Vector Disease Control International"
"3aba4e07-ebaa-4ad5-b2a0-e9255fda3f44","WOOD_037.mosquitoPoint.mos","D09","WOOD","WOOD_037","2016-05-31T23:37Z","2016-06-01T12:54Z","2016-10-04","WOOD_037.20160601.0754.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5d8d2974-0abe-45e4-b536-6ddb2986b5f8","WOOD_038.mosquitoPoint.mos","D09","WOOD","WOOD_038","2016-05-31T23:50Z","2016-06-01T13:07Z","2016-10-04","WOOD_038.20160601.0807.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"B.T. Hiatt","Vector Disease Control International"
"e50d628b-bd82-46b1-8d20-e99cf85238f5","WOOD_038.mosquitoPoint.mos","D09","WOOD","WOOD_038","2016-06-01T22:33Z","2016-06-02T12:03Z","2016-10-04","WOOD_038.20160602.0703.S.01",,,,"WOOD.2016.22.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"d4420ff1-64d7-4a49-a6ac-b42f834b4b99","WOOD_032.mosquitoPoint.mos","D09","WOOD","WOOD_032","2016-06-01T22:48Z","2016-06-02T11:54Z","2016-10-04","WOOD_032.20160602.0654.S.01",,,,"WOOD.2016.22.CULINO.F.A",,"Y",7,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F","MOS.D09.000017","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"35fbc9c3-20ab-451e-83e3-4964bfe519c5","WOOD_041.mosquitoPoint.mos","D09","WOOD","WOOD_041","2016-06-01T22:57Z","2016-06-02T12:10Z","2016-10-04","WOOD_041.20160602.0710.S.01",,,,"WOOD.2016.22.CULINO.F.A",,"Y",2,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F","MOS.D09.000018","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Vector Disease Control International"
