uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"561647b9-45c8-4e8a-bd61-7ed914f9014e","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-21T23:10Z","2017-06-22T11:38Z","2017-07-21","RMNP_039.20170622.0538.S.01",,,,"RMNP.2017.25.CULIMP.F.A",,"Y",1,"CULIMP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"impatiens",,"Culiseta impatiens","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"4009878b-333b-42e0-8c59-895849d20168","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-21T23:10Z","2017-06-22T11:38Z","2017-07-21","RMNP_039.20170622.0538.S.01",,,,"RMNP.2017.25.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"dd676d1d-3bdf-48a8-823a-45d14a0550ce","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-21T23:10Z","2017-06-22T11:38Z","2017-07-21","RMNP_039.20170622.0538.S.01",,,,"RMNP.2017.25.AEDCAT.F.A",,"Y",2,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","A",,"F","MOS.D10.001134","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"c397a020-14de-4159-a02c-e27129010b42","RMNP_031.mosquitoPoint.mos","D10","RMNP","RMNP_031","2017-06-21T23:35Z","2017-06-22T12:03Z","2017-07-20","RMNP_031.20170622.0603.S.01",,,,"RMNP.2017.25.AEDCAT.F.A",,"Y",2,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1385c690-e965-48ba-95a6-6b800756d107","RMNP_038.mosquitoPoint.mos","D10","RMNP","RMNP_038","2017-06-22T00:07Z","2017-06-22T12:19Z","2017-07-21","RMNP_038.20170622.0619.S.01",,,,"RMNP.2017.25.AEDHEX.F.A",,"Y",1,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"6d7adf60-4f11-49c5-9c7b-512374d9f038","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T00:26Z","2017-06-22T12:30Z","2017-07-21","RMNP_040.20170622.0630.S.01",,,,,,"Y",1,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F","MOS.D10.001137","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"4fbe7a98-71b1-43b1-a99c-a7f504197459","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T00:26Z","2017-06-22T12:30Z","2017-07-21","RMNP_040.20170622.0630.S.01",,,,"RMNP.2017.25.AEDHEX.F.A",,"Y",4,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","A",,"F","MOS.D10.001138","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"ca2b8e44-b062-48b8-8c84-402df09c35cf","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T00:26Z","2017-06-22T12:30Z","2017-07-21","RMNP_040.20170622.0630.S.01",,,,"RMNP.2017.25.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"dfb247ec-3d76-4b40-9d96-0dab2e632ed9","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T00:26Z","2017-06-22T12:30Z","2017-07-21","RMNP_040.20170622.0630.S.01",,,,"RMNP.2017.25.CULIMP.F.A",,"Y",2,"CULIMP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"impatiens",,"Culiseta impatiens","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3b5373cc-94bd-4cfb-8f6c-219ece3b01fc","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T00:26Z","2017-06-22T12:30Z","2017-07-21","RMNP_040.20170622.0630.S.01",,,,"RMNP.2017.25.AEDCAT.F.A",,"Y",2,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","A",,"F","MOS.D10.001136","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"22b8cef3-773a-4c9d-948d-13a627782bbd","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-22T11:38Z","2017-06-22T23:14Z","2017-07-21","RMNP_039.20170622.1714.S.01",,,,"RMNP.2017.25.CULIMP.F.A",,"Y",4,"CULIMP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"impatiens",,"Culiseta impatiens","(Walker)","species","N",,"F","MOS.D10.001135","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a22b3e6e-e60b-4030-ade8-70173bae5483","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-22T11:38Z","2017-06-22T23:14Z","2017-07-21","RMNP_039.20170622.1714.S.01",,,,"RMNP.2017.25.AEDCAT.F.A",,"Y",5,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"eeaf0230-0883-44d7-a816-b4d63c3efa69","RMNP_039.mosquitoPoint.mos","D10","RMNP","RMNP_039","2017-06-22T11:38Z","2017-06-22T23:14Z","2017-07-21","RMNP_039.20170622.1714.S.01",,,,"RMNP.2017.25.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"5ca49364-2718-4dab-8b26-8c9a60d09bf2","RMNP_031.mosquitoPoint.mos","D10","RMNP","RMNP_031","2017-06-22T12:03Z","2017-06-22T23:40Z","2017-07-20","RMNP_031.20170622.1740.S.01",,,,"RMNP.2017.25.AEDSP.F.A",,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"6ec1d0bb-3340-4bbf-b9e3-1ffe7ee666a1","RMNP_031.mosquitoPoint.mos","D10","RMNP","RMNP_031","2017-06-22T12:03Z","2017-06-22T23:40Z","2017-07-20","RMNP_031.20170622.1740.S.01",,,,"RMNP.2017.25.AEDCAT.F.A",,"Y",5,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3b4963a9-ea32-46bb-8bfc-94e4e32786ee","RMNP_038.mosquitoPoint.mos","D10","RMNP","RMNP_038","2017-06-22T12:19Z","2017-06-22T23:55Z","2017-07-21","RMNP_038.20170622.1755.S.01",,,,"RMNP.2017.25.AEDCOM.F.A",,"Y",1,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"f8f358d2-96d3-43aa-b224-cdd63c6d9cf7","RMNP_038.mosquitoPoint.mos","D10","RMNP","RMNP_038","2017-06-22T12:19Z","2017-06-22T23:55Z","2017-07-21","RMNP_038.20170622.1755.S.01",,,,"RMNP.2017.25.CULINO.F.A",,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3f3cf487-ece6-4fc7-a7ce-978f6b208c23","RMNP_040.mosquitoPoint.mos","D10","RMNP","RMNP_040","2017-06-22T12:30Z","2017-06-23T00:06Z","2017-07-21","RMNP_040.20170622.1806.S.01",,,,"RMNP.2017.25.AEDHEX.F.A",,"Y",1,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
