uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"eda56df8-20cf-45b0-b483-3e687c793833","STER_037.mosquitoPoint.mos","D10","STER","STER_037","2014-09-02T22:36Z","2014-09-03T13:36Z","2014-09-17","STER_037.20140903.0736.S.01",,,,"STER.2014.35.PSOSIG.F.A",,"Y",3,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"9f1ad48f-eb66-40d6-8fd0-080106e064bd","STER_037.mosquitoPoint.mos","D10","STER","STER_037","2014-09-02T22:36Z","2014-09-03T13:36Z","2014-09-17","STER_037.20140903.0736.S.01",,,,"STER.2014.35.AEDNIG.F.A",,"Y",2,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"a0566ccc-c423-4b80-8289-b3a1415c37a1","STER_037.mosquitoPoint.mos","D10","STER","STER_037","2014-09-02T22:36Z","2014-09-03T13:36Z","2014-09-17","STER_037.20140903.0736.S.01",,"STER.2014.35.CULTAR.F.T",,,,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"9f130426-2d6e-4af6-9476-b1a864bae84e","STER_037.mosquitoPoint.mos","D10","STER","STER_037","2014-09-02T22:36Z","2014-09-03T13:36Z","2014-09-17","STER_037.20140903.0736.S.01",,"STER.2014.35.AEDDOR.F.T",,"STER.2014.35.AEDDOR.F.A",,"Y",2,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"35d1fa56-0be7-4b97-a431-c662715604da","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,,,"STER.2014.35.AEDNIG.F.A",,"Y",8,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"1a3f6eb5-865f-4cf6-a3a6-284eefe04f62","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,,,"STER.2014.35.AEDVEX.M.A",,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"M","MOS.D10.001030","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"4fd15f56-d1f3-4446-bd35-34c4f7513277","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,"STER.2014.35.AEDDOR.F.T",,"STER.2014.35.AEDDOR.F.A",,"Y",5,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"bc786b22-c1a8-4661-ab27-ad10ff42adb1","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,,,"STER.2014.35.AEDVEX.F.A",,"Y",23,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"94f55874-0e42-42da-bb68-e6cd98639a2e","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,"STER.2014.35.CULTAR.F.T",,,,"Y",50,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"eefc3165-8395-4ba1-846d-da94006752dd","STER_038.mosquitoPoint.mos","D10","STER","STER_038","2014-09-02T22:48Z","2014-09-03T14:02Z","2014-09-17","STER_038.20140903.0802.S.01",,,,"STER.2014.35.PSOSIG.F.A",,"Y",2,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
