uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"5f86a479-0a28-4ad6-88ef-17dd42bb644c","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.ANOQUA.F.A",,"Y",1,"ANOQUA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"quadrimaculatus",,"Anopheles quadrimaculatus","Say","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"da5a897c-daab-4b02-ac5e-9dacec77c477","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,"CLBJ.2017.19.AEDVEX.F.T",,,,"Y",32,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F","MOS.D11.000273","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"574165f2-3999-4c48-b352-5ce4246c8511","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.ORTSIG.F.A",,"Y",3,"ORTSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Orthopodomyia",,"signifera",,"Orthopodomyia signifera","(Coquillett)","species","N",,"F","MOS.D11.000274","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5780b23a-b894-4d85-b59c-3b73080beb37","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.COQPER.F.A",,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"edfb8234-88f8-4a52-bdbb-17e97bf91ed9","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.CULSAL.F.A",,"Y",2,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"22f894df-a21f-484e-9b58-719cd06ce614","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.PSOSP.F.A",,"Y",1,"PSOSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"sp.",,"Psorophora sp.","Robineau-desvoidy","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"H.M. Ward","Vector Disease Control International"
"93ed1180-aebd-4f7d-a4fe-625ecdcd2743","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.AEDTRI.F.A",,"Y",9,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F","MOS.D11.000272","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"8f7090c4-9240-4882-92dd-ef8fc53ee09f","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.CULTAR.F.A",,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"cb016fac-8798-45b3-b259-d4f5d7b8e49f","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.ANOPUN.F.A",,"Y",2,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"fd946ffd-46b0-48fa-a3cf-7777c57e6faf","CLBJ_069.mosquitoPoint.mos","D11","CLBJ","CLBJ_069","2017-05-08T23:27Z","2017-05-09T12:39Z","2017-06-14","CLBJ_069.20170509.0739.S.01",,,,"CLBJ.2017.19.CULERR.F.A",,"Y",4,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
