uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"090705ec-0428-4e00-8cde-fdb0efea34e4","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"b5557c8e-24a3-4a37-adb4-7d9e770e79a1","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",13,"PSODIS","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"discolor",,"Psorophora discolor","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"d2d332f2-45fd-467e-949d-364b58bf4b57","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",2,"PSOCYA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"cyanescens",,"Psorophora cyanescens","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"b3efd2e4-56eb-49a1-99ea-4f6788aff339","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",1,"PSOCIL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"ciliata",,"Psorophora ciliata","(Fabricus)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"058a5b3d-aa13-4201-bdc5-6d1f1bf05107","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",1,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"salinarius",,"Culex salinarius","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"269f889d-a685-47d8-a57e-a4bd977b3db4","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",6,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"24d85fbd-7b2f-4e1e-a22e-63280894d7f4","OAES_033.mosquitoPoint.mos","D11","OAES","OAES_033","2018-07-09T23:51Z","2018-07-10T11:36Z","2018-08-27","OAES_033.20180710.0636.S.01",,,,,,"Y",2,"AEDNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigromaculis",,"Aedes nigromaculis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"e6003d6e-1d7d-49c0-9f2e-41de69e4a5dc","OAES_036.mosquitoPoint.mos","D11","OAES","OAES_036","2018-07-10T00:05Z","2018-07-10T11:44Z","2018-08-27","OAES_036.20180710.0644.S.01",,,,,,"Y",30,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"3e4b5a3c-1f22-4d51-8312-77a8963bd9e6","OAES_036.mosquitoPoint.mos","D11","OAES","OAES_036","2018-07-10T00:05Z","2018-07-10T11:44Z","2018-08-27","OAES_036.20180710.0644.S.01",,,,,,"Y",3,"PSOCYA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"cyanescens",,"Psorophora cyanescens","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"57f1c336-896f-4da5-94a9-f0870627db27","OAES_036.mosquitoPoint.mos","D11","OAES","OAES_036","2018-07-10T00:05Z","2018-07-10T11:44Z","2018-08-27","OAES_036.20180710.0644.S.01",,,,,,"Y",5,"PSODIS","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"discolor",,"Psorophora discolor","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
