uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"0a9de276-ed10-4ca4-ab12-131da2e9a0ae","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",2,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"c8ead597-a24e-4153-8207-091fb4cf0188","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",11,"AEDINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"increpitus",,"Aedes increpitus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"520f1ae4-3cdd-4eab-9133-f73c1cde685d","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",25,"AEDFLA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"flavescens",,"Aedes flavescens","(Muller)","species","N",,"F","MOS.D12.000044|MOS.D12.000042|MOS.D12.000040|MOS.D12.000043|MOS.D12.000041","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3d6d0ca3-b45f-4857-b54d-d0e53f2af4b3","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",2,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F","MOS.D12.000045","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"e6e110d2-93f1-44db-b7d6-fd8a483173cb","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",1,"OCHSPE","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Ochlerotatus",,"spencerii","idahoensis","Ochlerotatus spencerii idahoensis",,"subspecies","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1096cee8-ceb0-4483-9e1a-0df18d0f3414","YELL_037.mosquitoPoint.mos","D12","YELL","YELL_037","2018-07-17T00:38Z","2018-07-17T13:23Z","2018-09-07","YELL_037.20180717.0723.S.01",,,,,,"Y",7,"AEDFIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"fitchii",,"Aedes fitchii","(Felt and Young)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"0028ac17-a5a2-4c20-8be7-b7c7c6f3dad6","YELL_033.mosquitoPoint.mos","D12","YELL","YELL_033","2018-07-17T00:57Z","2018-07-17T13:30Z","2018-09-07","YELL_033.20180717.0730.S.01",,,,,,"Y",1,"AEDCAT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cataphylla",,"Aedes cataphylla","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"61272b78-4a0e-4474-89aa-aaef0022b160","YELL_033.mosquitoPoint.mos","D12","YELL","YELL_033","2018-07-17T00:57Z","2018-07-17T13:30Z","2018-09-07","YELL_033.20180717.0730.S.01",,,,,,"Y",3,"AEDIMP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"implicatus",,"Aedes implicatus","Vockeroth","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"b532562b-d32a-421d-b899-39709a92b78f","YELL_033.mosquitoPoint.mos","D12","YELL","YELL_033","2018-07-17T00:57Z","2018-07-17T13:30Z","2018-09-07","YELL_033.20180717.0730.S.01",,,,,,"Y",5,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F","MOS.D12.000038","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"b7e83bb1-3991-44cc-baeb-01c0c821a7a4","YELL_033.mosquitoPoint.mos","D12","YELL","YELL_033","2018-07-17T00:57Z","2018-07-17T13:30Z","2018-09-07","YELL_033.20180717.0730.S.01",,,,,,"Y",178,"AEDINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"increpitus",,"Aedes increpitus","Dyar","species","N",,"F","MOS.D12.000039","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
