uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"996513f5-f97c-41a4-8013-a2cf3b8a395d","MOAB_034.mosquitoPoint.mos","D13","MOAB","MOAB_034","2018-08-01T00:01Z","2018-08-01T13:06Z","2018-08-15","MOAB_034.20180801.0706.S.01",,,,,,"Y",1,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"56575d0b-884f-4089-b029-4069e96061c3","MOAB_034.mosquitoPoint.mos","D13","MOAB","MOAB_034","2018-08-01T00:01Z","2018-08-01T13:06Z","2018-08-15","MOAB_034.20180801.0706.S.01",,,,,,"Y",3,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"4171304b-d6b7-4cf4-acb1-ff4f572f350a","MOAB_034.mosquitoPoint.mos","D13","MOAB","MOAB_034","2018-08-01T00:01Z","2018-08-01T13:06Z","2018-08-15","MOAB_034.20180801.0706.S.01",,,,,,"Y",10,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"4f7cfdfa-3128-4949-97eb-55d2d198e5c0","MOAB_038.mosquitoPoint.mos","D13","MOAB","MOAB_038","2018-08-01T00:53Z","2018-08-01T14:02Z","2018-08-15","MOAB_038.20180801.0802.S.01",,,,,,"Y",2,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"46855135-ace8-415c-9d26-61ca1e036c9d","MOAB_038.mosquitoPoint.mos","D13","MOAB","MOAB_038","2018-08-01T00:53Z","2018-08-01T14:02Z","2018-08-15","MOAB_038.20180801.0802.S.01",,,,,,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"3a5ee80c-e5ed-46e1-a32c-e875dcf23c27","MOAB_035.mosquitoPoint.mos","D13","MOAB","MOAB_035","2018-08-01T01:13Z","2018-08-01T14:21Z","2018-08-15","MOAB_035.20180801.0821.S.01",,,,,,"Y",11,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F","MOS.D13.000148","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"9af60aa4-bfea-4fa5-9c99-96d03c816b2a","MOAB_036.mosquitoPoint.mos","D13","MOAB","MOAB_036","2018-08-01T01:27Z","2018-08-01T14:38Z","2018-08-15","MOAB_036.20180801.0838.S.01",,,,,,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"c7b9a6ad-4f6d-48e8-815e-e5e8c44aad69","MOAB_036.mosquitoPoint.mos","D13","MOAB","MOAB_036","2018-08-01T01:27Z","2018-08-01T14:38Z","2018-08-15","MOAB_036.20180801.0838.S.01",,,,,,"Y",1,"AEDDOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"dorsalis",,"Aedes dorsalis","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"ac1668d6-4e4a-4674-a95c-cb0a61dcd4dd","MOAB_036.mosquitoPoint.mos","D13","MOAB","MOAB_036","2018-08-01T01:27Z","2018-08-01T14:38Z","2018-08-15","MOAB_036.20180801.0838.S.01",,,,,,"Y",3,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"12d7c04a-9b1d-4cc7-add5-445e08f79b60","MOAB_039.mosquitoPoint.mos","D13","MOAB","MOAB_039","2018-08-01T01:39Z","2018-08-01T14:56Z","2018-08-15","MOAB_039.20180801.0856.S.01",,,,,,"Y",1,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
