uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"513a5a91-8db3-4ca8-af38-3feb7c526ae6","NIWO_072.mosquitoPoint.mos","D13","NIWO","NIWO_072","2018-08-13T22:01Z","2018-08-14T12:12Z","2018-10-01","NIWO_072.20180814.0612.S.01",,,,,,"Y",1,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a0b83316-a754-401d-bd4b-ef84187c004f","NIWO_073.mosquitoPoint.mos","D13","NIWO","NIWO_073","2018-08-13T22:11Z","2018-08-14T12:33Z","2018-10-01","NIWO_073.20180814.0633.S.01",,,,,,"Y",2,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a51eb26c-bfce-4d5a-81c5-849abde53eb3","NIWO_078.mosquitoPoint.mos","D13","NIWO","NIWO_078","2018-08-13T22:18Z","2018-08-14T12:43Z","2018-10-01","NIWO_078.20180814.0643.S.01",,,,,,"Y",1,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"ff881c9f-dc43-4823-bae5-71e9b74384c6","NIWO_078.mosquitoPoint.mos","D13","NIWO","NIWO_078","2018-08-13T22:18Z","2018-08-14T12:43Z","2018-10-01","NIWO_078.20180814.0643.S.01",,,,,,"Y",2,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"70edb79a-4268-48da-9a1d-6176ceef0560","NIWO_078.mosquitoPoint.mos","D13","NIWO","NIWO_078","2018-08-13T22:18Z","2018-08-14T12:43Z","2018-10-01","NIWO_078.20180814.0643.S.01",,,,,,"Y",1,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"85df2a07-e895-4192-bf41-9922ed466909","NIWO_080.mosquitoPoint.mos","D13","NIWO","NIWO_080","2018-08-13T22:22Z","2018-08-14T12:50Z","2018-10-01","NIWO_080.20180814.0650.S.01",,,,,,"Y",1,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"be83bd51-bc98-48cd-bdde-910e3855f5af","NIWO_080.mosquitoPoint.mos","D13","NIWO","NIWO_080","2018-08-13T22:22Z","2018-08-14T12:50Z","2018-10-01","NIWO_080.20180814.0650.S.01",,,,,,"Y",1,"AEDPUL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"pullatus",,"Aedes pullatus","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"3feb326f-38df-44ea-ac6b-68b88852aad6","NIWO_080.mosquitoPoint.mos","D13","NIWO","NIWO_080","2018-08-13T22:22Z","2018-08-14T12:50Z","2018-10-01","NIWO_080.20180814.0650.S.01",,,,,,"Y",2,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"0ff7a6c3-9bf5-44d6-8b73-de787e78b2ec","NIWO_080.mosquitoPoint.mos","D13","NIWO","NIWO_080","2018-08-13T22:22Z","2018-08-14T12:50Z","2018-10-01","NIWO_080.20180814.0650.S.01",,,,,,"Y",1,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"de553a0d-f64d-439f-a8fb-28a765ebaeb6","NIWO_076.mosquitoPoint.mos","D13","NIWO","NIWO_076","2018-08-13T22:42Z","2018-08-14T13:06Z","2018-10-01","NIWO_076.20180814.0706.S.01",,,,,,"Y",4,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
