uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"03373fa4-316a-443d-ab73-abf4728f5193","JORN_033.mosquitoPoint.mos","D14","JORN","JORN_033","2016-08-10T21:44Z","2016-08-11T11:55Z","2016-09-22","JORN_033.20160811.0555.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"B.T. Hiatt","Colorado Mosquito Control"
"552506f0-b47a-4201-90c0-0a0ab8d5c681","JORN_041.mosquitoPoint.mos","D14","JORN","JORN_041","2016-08-10T22:02Z","2016-08-11T12:13Z","2016-09-22","JORN_041.20160811.0613.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"7b955bbf-9c55-43ba-b2de-09db1cae883c","JORN_041.mosquitoPoint.mos","D14","JORN","JORN_041","2016-08-10T22:02Z","2016-08-11T12:13Z","2016-09-22","JORN_041.20160811.0613.S.01",,,,,,"Y",2,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"bad85a50-30c1-4a68-84b5-ea2b666fef0b","JORN_036.mosquitoPoint.mos","D14","JORN","JORN_036","2016-08-10T22:14Z","2016-08-11T12:23Z","2016-09-22","JORN_036.20160811.0623.S.01",,,,,,"Y",1,"PSOSIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"signipennis",,"Psorophora signipennis","(Coquillett)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"8414b456-5991-425c-862a-22a386300f1b","JORN_034.mosquitoPoint.mos","D14","JORN","JORN_034","2016-08-10T22:28Z","2016-08-11T12:40Z","2016-09-22","JORN_034.20160811.0640.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"ee4f31f2-3839-4afb-a64d-2806584b67db","JORN_034.mosquitoPoint.mos","D14","JORN","JORN_034","2016-08-10T22:28Z","2016-08-11T12:40Z","2016-09-22","JORN_034.20160811.0640.S.01",,,,,,"Y",2,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"78391185-4dfe-4abb-a87a-972baf0bfbaf","JORN_040.mosquitoPoint.mos","D14","JORN","JORN_040","2016-08-10T22:35Z","2016-08-11T12:49Z","2016-09-22","JORN_040.20160811.0649.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"T.M. Heron","Colorado Mosquito Control"
"7c994d76-fb90-4269-9cd5-bb63b07505da","JORN_039.mosquitoPoint.mos","D14","JORN","JORN_039","2016-08-10T22:48Z","2016-08-11T13:03Z","2016-09-22","JORN_039.20160811.0703.S.01",,,,,,"Y",2,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"B.T. Hiatt","Colorado Mosquito Control"
"d2ac9ea8-77d7-400b-a7f5-b6050a1a86a6","JORN_039.mosquitoPoint.mos","D14","JORN","JORN_039","2016-08-10T22:48Z","2016-08-11T13:03Z","2016-09-22","JORN_039.20160811.0703.S.01",,,,,,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"B.T. Hiatt","Colorado Mosquito Control"
"20978ddd-b818-4075-86f8-1d0dc506ad8a","JORN_038.mosquitoPoint.mos","D14","JORN","JORN_038","2016-08-10T23:04Z","2016-08-11T13:15Z","2016-09-22","JORN_038.20160811.0715.S.01",,,,,,"Y",1,"ANOSPP1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"sp.",,"Anopheles sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"B.T. Hiatt","Colorado Mosquito Control"
