uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"fb40e1b7-e013-4a25-a8ae-a5d141a1858a","SRER_037.mosquitoPoint.mos","D14","SRER","SRER_037","2017-08-03T00:07Z","2017-08-03T13:49Z","2017-10-05","SRER_037.20170803.0649.S.01",,,,"SRER.2017.31.AEDPAP.F.A",,"Y",1,"AEDPAP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"papago",,"Aedes papago","Zavortink","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"2636feee-45e1-4c1c-a58f-8ee89899e508","SRER_037.mosquitoPoint.mos","D14","SRER","SRER_037","2017-08-03T00:07Z","2017-08-03T13:49Z","2017-10-05","SRER_037.20170803.0649.S.01",,,,"SRER.2017.31.PSOCOL.F.A",,"Y",1,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"faf84c03-ad97-4e87-b4a5-3097433ce470","SRER_032.mosquitoPoint.mos","D14","SRER","SRER_032","2017-08-03T00:09Z","2017-08-03T14:00Z","2017-10-05","SRER_032.20170803.0700.S.01",,,,"SRER.2017.31.PSOCOL.F.A",,"Y",4,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"66b549de-cd9c-4ea3-b0a9-4f7263f1b4bd","SRER_032.mosquitoPoint.mos","D14","SRER","SRER_032","2017-08-03T00:09Z","2017-08-03T14:00Z","2017-10-05","SRER_032.20170803.0700.S.01",,,,"SRER.2017.31.AEDPUR.F.A",,"Y",1,"AEDPUR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"purpureipes",,"Aedes purpureipes","Aitken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"423ac9fb-29f7-435b-89e1-25b1eade4caf","SRER_032.mosquitoPoint.mos","D14","SRER","SRER_032","2017-08-03T00:09Z","2017-08-03T14:00Z","2017-10-05","SRER_032.20170803.0700.S.01",,,,"SRER.2017.31.ANOFRA.F.A",,"Y",1,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"bc1a14fd-5d66-405e-a08e-99848976d953","SRER_033.mosquitoPoint.mos","D14","SRER","SRER_033","2017-08-03T00:23Z","2017-08-03T14:12Z","2017-10-05","SRER_033.20170803.0712.S.01",,,,"SRER.2017.31.PSOCOL.F.A",,"Y",1,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"afd04c4a-8eb2-4f1d-ae3e-131791615c3c","SRER_033.mosquitoPoint.mos","D14","SRER","SRER_033","2017-08-03T00:23Z","2017-08-03T14:12Z","2017-10-05","SRER_033.20170803.0712.S.01",,,,"SRER.2017.31.AEDTRI.F.A",,"Y",3,"AEDTRI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"trivittatus",,"Aedes trivittatus","(Coquillett)","species","N",,"F","MOS.D14.000090","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"d512e71e-de91-4088-b17c-88a859b7f616","SRER_033.mosquitoPoint.mos","D14","SRER","SRER_033","2017-08-03T00:23Z","2017-08-03T14:12Z","2017-10-05","SRER_033.20170803.0712.S.01",,,,"SRER.2017.31.AEDPUR.F.A",,"Y",3,"AEDPUR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"purpureipes",,"Aedes purpureipes","Aitken","species","N",,"F","MOS.D14.000089","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"6cc4afff-f859-41b9-8b8f-d62087664fa1","SRER_034.mosquitoPoint.mos","D14","SRER","SRER_034","2017-08-03T00:54Z","2017-08-03T14:33Z","2017-10-05","SRER_034.20170803.0733.S.01",,,,,,"N",0,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"H.M. Ward","Vector Disease Control International"
"4180d265-adf4-420b-84ed-a2c04ac9cb08","SRER_036.mosquitoPoint.mos","D14","SRER","SRER_036","2017-08-03T01:12Z","2017-08-03T14:52Z","2017-10-05","SRER_036.20170803.0752.S.01",,,,"SRER.2017.31.PSOCOL.F.A",,"Y",1,"PSOCOL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Psorophora",,"columbiae",,"Psorophora columbiae","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
