uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"36ea013f-0be2-4636-b660-61d2d61b3cf3","ONAQ_076.mosquitoPoint.mos","D15","ONAQ","ONAQ_076","2019-05-01T22:29Z","2019-05-02T12:53Z","2019-05-21","ONAQ_076.20190502.0653.S.01",,,,,,"Y",2,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"0f2c58a2-1bdf-453a-b5d3-4ca2c6b2871f","ONAQ_079.mosquitoPoint.mos","D15","ONAQ","ONAQ_079","2019-05-02T00:47Z","2019-05-02T14:52Z","2019-05-21","ONAQ_079.20190502.0852.S.01",,,,,,"Y",1,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"66a48d5e-fbb2-4002-9223-47d812c6206f","ONAQ_083.mosquitoPoint.mos","D15","ONAQ","ONAQ_083","2019-05-02T01:19Z","2019-05-02T15:32Z","2019-05-21","ONAQ_083.20190502.0932.S.01",,,,,,"Y",2,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"38b89841-28ba-4217-b553-46087c534e40","ONAQ_080.mosquitoPoint.mos","D15","ONAQ","ONAQ_080","2019-05-02T01:55Z","2019-05-02T16:22Z","2019-05-21","ONAQ_080.20190502.1022.S.01",,,,,,"Y",1,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"f8385bea-083d-4e8f-ae4b-6a8453a28126","ONAQ_076.mosquitoPoint.mos","D15","ONAQ","ONAQ_076","2019-05-02T13:11Z","2019-05-02T22:55Z","2019-05-21","ONAQ_076.20190502.1655.S.01",,,,,,"Y",3,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"3c6b963c-acf2-48ba-8e4b-f5059dbda8b9","ONAQ_081.mosquitoPoint.mos","D15","ONAQ","ONAQ_081","2019-05-02T14:40Z","2019-05-02T23:48Z","2019-05-21","ONAQ_081.20190502.1748.S.01",,,,,,"Y",1,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F","MOS.D15.000094","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"a70f9192-c665-431b-8e8d-5a27deea11bb","ONAQ_079.mosquitoPoint.mos","D15","ONAQ","ONAQ_079","2019-05-02T14:56Z","2019-05-03T00:04Z","2019-05-21","ONAQ_079.20190502.1804.S.01",,,,,,"Y",1,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"53be205f-6bfc-49d7-b830-b99e4ebd7394","ONAQ_077.mosquitoPoint.mos","D15","ONAQ","ONAQ_077","2019-05-02T15:11Z","2019-05-03T00:13Z","2019-05-21","ONAQ_077.20190502.1813.S.01",,,,,,"Y",2,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"796b87bb-30c2-49bc-902c-46160a0064f9","ONAQ_083.mosquitoPoint.mos","D15","ONAQ","ONAQ_083","2019-05-02T15:33Z","2019-05-03T00:26Z","2019-05-21","ONAQ_083.20190502.1826.S.01",,,,,,"Y",7,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"5058a21b-1691-47d4-95a4-b5b4614ee5fd","ONAQ_080.mosquitoPoint.mos","D15","ONAQ","ONAQ_080","2019-05-02T16:24Z","2019-05-03T01:19Z","2019-05-21","ONAQ_080.20190502.1919.S.01",,,,,,"Y",1,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
"23a6f871-1dc3-46bc-baf6-bf3ecbc7b97c","ONAQ_078.mosquitoPoint.mos","D15","ONAQ","ONAQ_078","2019-05-02T16:35Z","2019-05-03T01:10Z","2019-05-21","ONAQ_078.20190502.1910.S.01",,,,,,"Y",6,"AEDNIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"niphadopsis",,"Aedes niphadopsis","Dyar and Knab","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.L. Wojtanek-Watson","Vector Disease Control International"
