uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"43e6eca3-8eec-41fc-905b-cb56da35ec4e","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2016-10-31T21:05Z","2016-11-01T15:10Z","2016-11-04","ABBY_035.20161101.0810.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1cd32649-7936-4bf4-9ae2-b7ea6a0af870","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2016-10-31T21:22Z","2016-11-01T15:36Z","2016-11-04","ABBY_036.20161101.0836.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"9511ab09-aaeb-4646-95c7-770d13b37dc2","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2016-10-31T21:35Z","2016-11-01T15:51Z","2016-11-04","ABBY_037.20161101.0851.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"2cca7c18-9aae-419b-92b1-c622caabe4e6","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2016-10-31T21:52Z","2016-11-01T16:14Z","2016-11-04","ABBY_031.20161101.0914.S.01",,,,"ABBY.2016.44.CULINO.F.A",,"Y",2,"CULINO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"inornata",,"Culiseta inornata","(Williston)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"2b48fe1e-7ea1-4626-a196-3e51e165c6a0","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2016-10-31T22:40Z","2016-11-01T17:03Z","2016-11-04","ABBY_034.20161101.1003.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"71a2e816-ecc6-479c-9bef-1581097dd384","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2016-10-31T22:58Z","2016-11-01T17:28Z","2016-11-04","ABBY_032.20161101.1028.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"29a1b4ae-e43b-4321-a7d8-e56f0b20dd98","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2016-10-31T23:07Z","2016-11-01T17:38Z","2016-11-04","ABBY_040.20161101.1038.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"31ba3689-07bf-4003-a01a-00d6c3c736b5","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2016-10-31T23:10Z","2016-11-01T17:47Z","2016-11-04","ABBY_033.20161101.1047.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"44e462d2-ae99-4c03-9425-e97bf4979801","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2016-11-01T15:51Z","2016-11-01T21:57Z","2016-11-04","ABBY_037.20161101.1457.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"44487bbb-7ea3-480e-a6dc-309241caada5","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2016-11-01T17:38Z","2016-11-01T23:21Z","2016-11-04","ABBY_040.20161101.1621.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
