uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"f8e7f763-d959-47b2-a6d8-ef4325666eb2","WREF_039.mosquitoPoint.mos","D16","WREF","WREF_039","2018-06-04T23:51Z","2018-06-05T12:44Z","2018-06-15","WREF_039.20180605.0544.S.01",,,,,,"Y",2,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F","MOS.D16.000016","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5a114d22-6450-4a9c-813f-d71a3b52bdc4","WREF_040.mosquitoPoint.mos","D16","WREF","WREF_040","2018-06-05T00:52Z","2018-06-05T13:57Z","2018-06-15","WREF_040.20180605.0657.S.01",,,,,,"Y",4,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"9e7d4d65-1fbf-4709-93ea-6959d474ea85","WREF_033.mosquitoPoint.mos","D16","WREF","WREF_033","2018-06-05T01:00Z","2018-06-05T14:06Z","2018-06-15","WREF_033.20180605.0706.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F","MOS.D16.000013","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"bb351090-1981-45aa-8e33-9c499e58d9a7","WREF_037.mosquitoPoint.mos","D16","WREF","WREF_037","2018-06-05T01:16Z","2018-06-05T14:15Z","2018-06-15","WREF_037.20180605.0715.S.01",,,,,,"Y",5,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"46fbb8b4-3ea3-40ff-93d4-77f64d055cf2","WREF_031.mosquitoPoint.mos","D16","WREF","WREF_031","2018-06-05T01:22Z","2018-06-05T14:20Z","2018-06-15","WREF_031.20180605.0720.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"9fb8c888-8e48-4027-8cd5-0a4ad2465ea3","WREF_036.mosquitoPoint.mos","D16","WREF","WREF_036","2018-06-05T01:46Z","2018-06-05T14:41Z","2018-06-15","WREF_036.20180605.0741.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"fb64c867-53e7-43f9-8001-ba43b684a771","WREF_036.mosquitoPoint.mos","D16","WREF","WREF_036","2018-06-05T01:46Z","2018-06-05T14:41Z","2018-06-15","WREF_036.20180605.0741.S.01",,,,,,"Y",3,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"4dfc2670-21e1-4a8a-abf6-6df36d9aff6a","WREF_035.mosquitoPoint.mos","D16","WREF","WREF_035","2018-06-05T02:00Z","2018-06-05T14:54Z","2018-06-15","WREF_035.20180605.0754.S.01",,,,,,"Y",26,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"db978e1c-81f5-4c9e-9899-680d21a7bd9b","WREF_034.mosquitoPoint.mos","D16","WREF","WREF_034","2018-06-05T02:20Z","2018-06-05T15:10Z","2018-06-15","WREF_034.20180605.0810.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"d6de7935-7ecc-4276-9591-5fc580928620","WREF_038.mosquitoPoint.mos","D16","WREF","WREF_038","2018-06-05T02:30Z","2018-06-05T15:19Z","2018-06-15","WREF_038.20180605.0819.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F","MOS.D16.000015","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"a837a27d-7b03-472b-9e14-a71c003326d6","WREF_032.mosquitoPoint.mos","D16","WREF","WREF_032","2018-06-05T02:42Z","2018-06-05T15:27Z","2018-06-15","WREF_032.20180605.0827.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"ddf342f4-1730-42a1-9a13-3d186ed76f5e","WREF_032.mosquitoPoint.mos","D16","WREF","WREF_032","2018-06-05T02:42Z","2018-06-05T15:27Z","2018-06-15","WREF_032.20180605.0827.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"78c3a222-78c1-436b-b928-86c8fde0a8d8","WREF_032.mosquitoPoint.mos","D16","WREF","WREF_032","2018-06-05T02:42Z","2018-06-05T15:27Z","2018-06-15","WREF_032.20180605.0827.S.01",,,,,,"Y",4,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"39675a6f-a9ce-40bd-8199-d2196a7e38b5","WREF_032.mosquitoPoint.mos","D16","WREF","WREF_032","2018-06-05T02:42Z","2018-06-05T15:27Z","2018-06-15","WREF_032.20180605.0827.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"e5983fb7-faa3-4dcf-81a6-c2808eb2759b","WREF_039.mosquitoPoint.mos","D16","WREF","WREF_039","2018-06-05T12:44Z","2018-06-05T23:59Z","2018-06-15","WREF_039.20180605.1659.S.01",,,,,,"Y",5,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"0697a32c-b08c-424b-a2ad-baa8776d167b","WREF_040.mosquitoPoint.mos","D16","WREF","WREF_040","2018-06-05T13:57Z","2018-06-06T00:47Z","2018-06-15","WREF_040.20180605.1747.S.01",,,,,,"Y",2,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"6901b5b5-d09d-4ec2-92d6-ddbdd6e69d97","WREF_031.mosquitoPoint.mos","D16","WREF","WREF_031","2018-06-05T14:21Z","2018-06-06T00:55Z","2018-06-15","WREF_031.20180605.1755.S.01",,,,,,"Y",2,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
