uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"06504ce9-e556-4468-9e1e-bdb10392e0fb","SJER_040.mosquitoPoint.mos","D17","SJER","SJER_040","2017-08-07T23:23Z","2017-08-08T15:02Z","2017-10-05","SJER_040.20170808.0802.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",1,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"79f8c798-b148-4072-8db7-e589c9f64f5a","SJER_043.mosquitoPoint.mos","D17","SJER","SJER_043","2017-08-07T23:47Z","2017-08-08T15:22Z","2017-10-05","SJER_043.20170808.0822.S.01",,,,"SJER.2017.32.CULPIP.F.A",,"Y",1,"CULPIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"pipiens",,"Culex pipiens","Linnaeus","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"eca75cae-a4ba-46ab-aadd-74c12b9aa571","SJER_043.mosquitoPoint.mos","D17","SJER","SJER_043","2017-08-07T23:47Z","2017-08-08T15:22Z","2017-10-05","SJER_043.20170808.0822.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",35,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"818c0e60-048c-4a1a-9783-d8751418bc5c","SJER_035.mosquitoPoint.mos","D17","SJER","SJER_035","2017-08-08T00:05Z","2017-08-08T15:40Z","2017-10-05","SJER_035.20170808.0840.S.01",,,,"SJER.2017.32.CULTAR.F.A",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"tarsalis",,"Culex tarsalis","Coquillett","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"db489ff6-49d8-43a0-8ff8-32286a1a546d","SJER_035.mosquitoPoint.mos","D17","SJER","SJER_035","2017-08-08T00:05Z","2017-08-08T15:40Z","2017-10-05","SJER_035.20170808.0840.S.01",,,,"SJER.2017.32.CULPIP.F.A",,"Y",1,"CULPIP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"pipiens",,"Culex pipiens","Linnaeus","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"e5692170-dd40-48b5-be7c-be604e2a9a34","SJER_042.mosquitoPoint.mos","D17","SJER","SJER_042","2017-08-08T00:19Z","2017-08-08T15:52Z","2017-10-05","SJER_042.20170808.0852.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",3,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"8b696475-8eaa-45bc-842b-51b8c2ac405e","SJER_036.mosquitoPoint.mos","D17","SJER","SJER_036","2017-08-08T00:27Z","2017-08-08T16:01Z","2017-10-05","SJER_036.20170808.0901.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",3,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"8082227e-e986-4cbd-ad27-17278344a39d","SJER_037.mosquitoPoint.mos","D17","SJER","SJER_037","2017-08-08T00:34Z","2017-08-08T16:07Z","2017-10-05","SJER_037.20170808.0907.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",3,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"aaf92d55-bfb8-458b-961b-fc315915827e","SJER_038.mosquitoPoint.mos","D17","SJER","SJER_038","2017-08-08T00:42Z","2017-08-08T16:17Z","2017-10-05","SJER_038.20170808.0917.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",5,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"3637299b-270c-49b9-9469-6dbe15444252","SJER_039.mosquitoPoint.mos","D17","SJER","SJER_039","2017-08-08T01:05Z","2017-08-08T16:41Z","2017-10-05","SJER_039.20170808.0941.S.01",,,,"SJER.2017.32.ANOFRA.F.A",,"Y",14,"ANOFRA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles",,"franciscanus",,"Anopheles franciscanus","Mccracken","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
