uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"12919c85-9779-40cb-b4a6-96fc62e92760","SOAP_036.mosquitoPoint.mos","D17","SOAP","SOAP_036","2018-05-21T23:30Z","2018-05-22T16:50Z","2018-06-27","SOAP_036.20180522.0950.S.01",,,,,,"Y",2,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"6af8fa5c-b639-4069-b6ea-40a88605c45d","SOAP_036.mosquitoPoint.mos","D17","SOAP","SOAP_036","2018-05-21T23:30Z","2018-05-22T16:50Z","2018-06-27","SOAP_036.20180522.0950.S.01",,,,,,"Y",13,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"7064158b-57d8-4b74-a557-a79a59a91d2c","SOAP_039.mosquitoPoint.mos","D17","SOAP","SOAP_039","2018-05-21T23:59Z","2018-05-22T16:15Z","2018-06-27","SOAP_039.20180522.0915.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"56a3e0b0-e178-4c2b-808b-18fdc4c406bc","SOAP_039.mosquitoPoint.mos","D17","SOAP","SOAP_039","2018-05-21T23:59Z","2018-05-22T16:15Z","2018-06-27","SOAP_039.20180522.0915.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"7c17d55c-465b-4db8-b414-dcc91fb202b4","SOAP_039.mosquitoPoint.mos","D17","SOAP","SOAP_039","2018-05-21T23:59Z","2018-05-22T16:15Z","2018-06-27","SOAP_039.20180522.0915.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"34eefd05-be7f-4808-ad88-d9f5dabb9755","SOAP_042.mosquitoPoint.mos","D17","SOAP","SOAP_042","2018-05-22T00:07Z","2018-05-22T16:22Z","2018-06-27","SOAP_042.20180522.0922.S.01",,,,,,"Y",6,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"M",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"475e3521-6fd0-46ae-9310-3aaab324bf8a","SOAP_042.mosquitoPoint.mos","D17","SOAP","SOAP_042","2018-05-22T00:07Z","2018-05-22T16:22Z","2018-06-27","SOAP_042.20180522.0922.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"5091edae-8e87-4d34-9ab7-516c7840cefb","SOAP_033.mosquitoPoint.mos","D17","SOAP","SOAP_033","2018-05-22T00:18Z","2018-05-22T16:03Z","2018-06-27","SOAP_033.20180522.0903.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F","MOS.D17.000020","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"e262cdd2-9852-4a94-bfd7-da5dcb5129ab","SOAP_035.mosquitoPoint.mos","D17","SOAP","SOAP_035","2018-05-22T00:41Z","2018-05-22T15:51Z","2018-06-27","SOAP_035.20180522.0851.S.01",,,,,,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"incidens",,"Culiseta incidens","(Thomson)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"c1fe5108-7c6b-4eff-9f8d-4b8df784b018","SOAP_037.mosquitoPoint.mos","D17","SOAP","SOAP_037","2018-05-22T00:54Z","2018-05-22T15:45Z","2018-06-27","SOAP_037.20180522.0845.S.01",,,,,,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sierrensis",,"Aedes sierrensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
