uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"ec4ddff2-1b4f-43f2-82dd-952fafc423a7","BARR_050.mosquitoPoint.mos","D18","BARR","BARR_050","2018-07-12T23:54Z","2018-07-13T18:07Z","2018-11-21","BARR_050.20180713.1007.S.01",,,,,,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"f9215eaa-7b6e-4641-a620-1dbaf1fd0c7b","BARR_050.mosquitoPoint.mos","D18","BARR","BARR_050","2018-07-12T23:54Z","2018-07-13T18:07Z","2018-11-21","BARR_050.20180713.1007.S.01",,,,,,"Y",4,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"a20a1e1c-18f6-4b36-a47a-23b134e07136","BARR_048.mosquitoPoint.mos","D18","BARR","BARR_048","2018-07-13T00:05Z","2018-07-13T18:40Z","2018-11-21","BARR_048.20180713.1040.S.01",,,,,,"Y",1,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"47262c5e-3615-410d-8008-ce8c9639615d","BARR_043.mosquitoPoint.mos","D18","BARR","BARR_043","2018-07-13T00:45Z","2018-07-13T18:51Z","2018-11-21","BARR_043.20180713.1051.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1d1e44fd-edff-4314-b1a2-74663700b5b0","BARR_042.mosquitoPoint.mos","D18","BARR","BARR_042","2018-07-13T01:00Z","2018-07-13T19:01Z","2018-11-21","BARR_042.20180713.1101.S.01",,,,,,"Y",4,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"b38f279f-d60d-422f-82eb-1cddbc23b7c3","BARR_041.mosquitoPoint.mos","D18","BARR","BARR_041","2018-07-13T01:16Z","2018-07-13T19:11Z","2018-11-21","BARR_041.20180713.1111.S.01",,,,,,"Y",11,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"554e5523-8e61-431b-96b8-bd1f251c3da6","BARR_041.mosquitoPoint.mos","D18","BARR","BARR_041","2018-07-13T01:16Z","2018-07-13T19:11Z","2018-11-21","BARR_041.20180713.1111.S.01",,,,,,"Y",2,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"8960e646-10c4-4215-ab29-6fc22c976275","BARR_047.mosquitoPoint.mos","D18","BARR","BARR_047","2018-07-13T01:30Z","2018-07-13T19:22Z","2018-11-21","BARR_047.20180713.1122.S.01",,,,,,"Y",5,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"053609b6-2342-4cb1-9257-ae9054516483","BARR_047.mosquitoPoint.mos","D18","BARR","BARR_047","2018-07-13T01:30Z","2018-07-13T19:22Z","2018-11-21","BARR_047.20180713.1122.S.01",,,,,,"Y",10,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"6fb8f792-73b5-44c1-b9d7-3f13a8dafc93","BARR_046.mosquitoPoint.mos","D18","BARR","BARR_046","2018-07-13T01:45Z","2018-07-13T19:30Z","2018-11-21","BARR_046.20180713.1130.S.01",,,,,,"Y",3,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
