uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"7c157569-503f-4bf7-a8bc-92f38eca0f8e","TOOL_080.mosquitoPoint.mos","D18","TOOL","TOOL_080","2018-07-06T00:00Z","2018-07-06T16:00Z","2018-10-31","TOOL_080.20180706.0800.S.01",,,,,,"Y",2,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"010613f0-f1a6-4326-bef0-783debb499ab","TOOL_079.mosquitoPoint.mos","D18","TOOL","TOOL_079","2018-07-06T00:02Z","2018-07-06T16:03Z","2018-10-31","TOOL_079.20180706.0803.S.01",,,,,,"Y",14,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F","MOS.D18.000021","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"9e14161a-2555-4b22-be4f-cfa6245826d5","TOOL_089.mosquitoPoint.mos","D18","TOOL","TOOL_089","2018-07-06T00:10Z","2018-07-06T16:19Z","2018-11-05","TOOL_089.20180706.0819.S.01",,,,,,"Y",1,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"d4987232-d9e1-4f40-a78a-7460a63fdaba","TOOL_088.mosquitoPoint.mos","D18","TOOL","TOOL_088","2018-07-06T00:14Z","2018-07-06T16:23Z","2018-11-05","TOOL_088.20180706.0823.S.01",,,,,,"Y",139,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"68ce0d70-a9da-4974-b9c1-8dd0e83ad28d","TOOL_088.mosquitoPoint.mos","D18","TOOL","TOOL_088","2018-07-06T00:14Z","2018-07-06T16:23Z","2018-11-05","TOOL_088.20180706.0823.S.01",,,,,,"Y",5,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a422967b-8323-4929-9a30-6ddd0b6d752e","TOOL_088.mosquitoPoint.mos","D18","TOOL","TOOL_088","2018-07-06T00:14Z","2018-07-06T16:23Z","2018-11-05","TOOL_088.20180706.0823.S.01",,,,,,"Y",21,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"de840e52-d13b-4505-b73d-40e063396b11","TOOL_082.mosquitoPoint.mos","D18","TOOL","TOOL_082","2018-07-06T00:26Z","2018-07-06T16:38Z","2018-10-31","TOOL_082.20180706.0838.S.01",,,,,,"Y",2,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"3c4640ff-7fb8-460e-bdd7-754de4b94249","TOOL_082.mosquitoPoint.mos","D18","TOOL","TOOL_082","2018-07-06T00:26Z","2018-07-06T16:38Z","2018-10-31","TOOL_082.20180706.0838.S.01",,,,,,"Y",2,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"4586509c-9c97-4d60-8c9a-907938795579","TOOL_082.mosquitoPoint.mos","D18","TOOL","TOOL_082","2018-07-06T00:26Z","2018-07-06T16:38Z","2018-10-31","TOOL_082.20180706.0838.S.01",,,,,,"Y",26,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F","MOS.D18.000025","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"1fe3bb26-20ff-4d18-b78d-8e9fcdf9a4ba","TOOL_040.mosquitoPoint.mos","D18","TOOL","TOOL_040","2018-07-06T00:34Z","2018-07-06T16:47Z","2018-10-30","TOOL_040.20180706.0847.S.01",,,,,,"Y",70,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F","MOS.D18.000013|MOS.D18.000014","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"9350caa0-c054-4f1a-bd25-ce52f0618635","TOOL_040.mosquitoPoint.mos","D18","TOOL","TOOL_040","2018-07-06T00:34Z","2018-07-06T16:47Z","2018-10-30","TOOL_040.20180706.0847.S.01",,,,,,"Y",1,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F","MOS.D18.000012","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"6f15429c-6c60-4b10-bbc2-c7335deaf6f4","TOOL_040.mosquitoPoint.mos","D18","TOOL","TOOL_040","2018-07-06T00:34Z","2018-07-06T16:47Z","2018-10-30","TOOL_040.20180706.0847.S.01",,,,,,"Y",5,"AEDNIG1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"nigripes",,"Aedes nigripes","(Zwrrwearwsr)","species","N",,"F","MOS.D18.000015","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
