uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"8cfc6bf9-a6c4-4181-846e-f374edc2022e","BONA_037.mosquitoPoint.mos","D19","BONA","BONA_037","2018-05-03T00:51Z","2018-05-03T16:35Z","2018-05-23","BONA_037.20180503.0835.S.01",,,,,,"Y",1,"CULSPP4","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"sp.",,"Culiseta sp.",,"genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"7a54b383-7c39-4436-9846-7e4df7c584f7","BONA_038.mosquitoPoint.mos","D19","BONA","BONA_038","2018-05-03T16:19Z","2018-05-04T00:54Z","2018-05-23","BONA_038.20180503.1654.S.01",,,,,,"Y",8,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"6d6c3f93-1ede-44c7-ae86-73aedfafd041","BONA_043.mosquitoPoint.mos","D19","BONA","BONA_043","2018-05-03T17:19Z","2018-05-04T00:57Z","2018-05-23","BONA_043.20180503.1657.S.01",,,,,,"Y",3,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"b1a0e3e9-82c3-4016-94b2-b5e0660a45a9","BONA_041.mosquitoPoint.mos","D19","BONA","BONA_041","2018-05-17T00:10Z","2018-05-17T17:16Z","2018-05-31","BONA_041.20180517.0916.S.01",,,,,,"Y",3,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"83634a23-8a74-42e7-9e59-546e4beb844b","BONA_034.mosquitoPoint.mos","D19","BONA","BONA_034","2018-05-17T00:19Z","2018-05-17T17:25Z","2018-05-23","BONA_034.20180517.0925.S.01",,,,,,"Y",38,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"f0899466-874f-4b2d-a8a8-b251bdb76cb3","BONA_040.mosquitoPoint.mos","D19","BONA","BONA_040","2018-05-17T00:24Z","2018-05-17T17:29Z","2018-05-31","BONA_040.20180517.0929.S.01",,,,,,"Y",1,"CULSPP4","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"sp.",,"Culiseta sp.",,"genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"89af1d46-5c9b-4f08-8de0-41342edb24dd","BONA_040.mosquitoPoint.mos","D19","BONA","BONA_040","2018-05-17T00:24Z","2018-05-17T17:29Z","2018-05-31","BONA_040.20180517.0929.S.01",,,,,,"Y",130,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"74d52626-eff9-4611-a5d7-065b6332ca07","BONA_040.mosquitoPoint.mos","D19","BONA","BONA_040","2018-05-17T00:24Z","2018-05-17T17:29Z","2018-05-31","BONA_040.20180517.0929.S.01",,,,,,"Y",2,"CULIMP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"impatiens",,"Culiseta impatiens","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"0020dcf0-c5f0-4ae8-a169-20ccb9ad8ea6","BONA_038.mosquitoPoint.mos","D19","BONA","BONA_038","2018-05-17T00:33Z","2018-05-17T17:34Z","2018-05-31","BONA_038.20180517.0934.S.01",,,,,,"Y",199,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"59d27d96-6482-41dd-ba38-e05311782ca0","BONA_038.mosquitoPoint.mos","D19","BONA","BONA_038","2018-05-17T00:33Z","2018-05-17T17:34Z","2018-05-31","BONA_038.20180517.0934.S.01",,,,,,"Y",1,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
