uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"1aff9b27-f457-42b5-9bb7-cabee5ec4b08","DEJU_042.mosquitoPoint.mos","D19","DEJU","DEJU_042","2016-07-20T00:44Z","2016-07-20T16:04Z","2017-02-09","DEJU_042.20160720.0804.S.01",,"DEJU.2016.29.AEDINT.F.T",,,,"Y",3,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"intrudens",,"Aedes intrudens","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"2d76b9b3-7008-4755-997b-aba98cfa12da","DEJU_042.mosquitoPoint.mos","D19","DEJU","DEJU_042","2016-07-20T00:44Z","2016-07-20T16:04Z","2017-02-09","DEJU_042.20160720.0804.S.01",,,,"DEJU.2016.29.AEDSP.F.A",,"Y",4,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"c999cfe3-5561-4208-a804-f7fd74e65d6b","DEJU_042.mosquitoPoint.mos","D19","DEJU","DEJU_042","2016-07-20T00:44Z","2016-07-20T16:04Z","2017-02-09","DEJU_042.20160720.0804.S.01",,,,"DEJU.2016.29.AEDCOM.F.A",,"Y",8,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"83720402-ebb0-42c5-8b5f-5268f1c6e4f0","DEJU_042.mosquitoPoint.mos","D19","DEJU","DEJU_042","2016-07-20T00:44Z","2016-07-20T16:04Z","2017-02-09","DEJU_042.20160720.0804.S.01",,,,"DEJU.2016.29.AEDCIN.F.A",,"Y",1,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"cinereus",,"Aedes cinereus","Meigen","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"d83458dd-15cf-46cd-a186-2e9156e42858","DEJU_042.mosquitoPoint.mos","D19","DEJU","DEJU_042","2016-07-20T00:44Z","2016-07-20T16:04Z","2017-02-09","DEJU_042.20160720.0804.S.01",,,,"DEJU.2016.29.AEDEXC.F.A",,"Y",4,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"762d324b-73cf-492e-9392-41a3889f3dad","DEJU_039.mosquitoPoint.mos","D19","DEJU","DEJU_039","2016-07-20T00:51Z","2016-07-20T15:56Z","2017-02-08","DEJU_039.20160720.0756.S.01",,,,"DEJU.2016.29.AEDSP.F.A",,"Y",11,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Vector Disease Control International"
"c67a6528-aed4-4c65-ac8a-672b399ae370","DEJU_039.mosquitoPoint.mos","D19","DEJU","DEJU_039","2016-07-20T00:51Z","2016-07-20T15:56Z","2017-02-08","DEJU_039.20160720.0756.S.01",,,,"DEJU.2016.29.AEDHEX.F.A",,"Y",2,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"dcfd8873-c587-4b97-b963-b0b41129320d","DEJU_039.mosquitoPoint.mos","D19","DEJU","DEJU_039","2016-07-20T00:51Z","2016-07-20T15:56Z","2017-02-08","DEJU_039.20160720.0756.S.01",,,,"DEJU.2016.29.AEDEXC.F.A",,"Y",6,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"excrucians",,"Aedes excrucians","(Walker)","species","N",,"F","MOS.D19.000085|MOS.D19.000086|MOS.D19.000087","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"25aff033-2800-41cf-b7db-1ef3cbbea386","DEJU_039.mosquitoPoint.mos","D19","DEJU","DEJU_039","2016-07-20T00:51Z","2016-07-20T15:56Z","2017-02-08","DEJU_039.20160720.0756.S.01",,,,"DEJU.2016.29.AEDCOM.F.A",,"Y",7,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F","MOS.D19.000084","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
"a64134f2-7872-40f6-89c1-cf39c52e4685","DEJU_039.mosquitoPoint.mos","D19","DEJU","DEJU_039","2016-07-20T00:51Z","2016-07-20T15:56Z","2017-02-08","DEJU_039.20160720.0756.S.01",,"DEJU.2016.29.AEDINT.F.T",,,,"Y",13,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"intrudens",,"Aedes intrudens","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International"
