uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"1df1a9a2-66eb-4dc7-ac3c-5d6ecb12f748","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,,,"HEAL.2017.24.CULSP2.F.A",,"Y",5,"CULSPP4","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"sp.",,"Culiseta sp.",,"genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"d8a0abba-fbf1-4e40-bf7a-2c4c7c9fe199","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,"HEAL.2017.24.AEDCOM.F.T",,,,"Y",7,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"communis",,"Aedes communis","(De Greer)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"be995183-09c3-4368-b70b-abc3d349f564","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,,,"HEAL.2017.24.AEDSP.F.A",,"Y",3,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"sp.",,"Aedes sp.","Meigen","genus","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"K.L. Renfro","Vector Disease Control International"
"cecfd435-4214-46c9-87a2-98126563f8f1","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,,,"HEAL.2017.24.CULALA.F.A",,"Y",39,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"7ccbfd09-47e0-4086-8d23-feeca3f28f26","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,"HEAL.2017.24.AEDHEX.F.T",,,,"Y",15,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"fd0d3bd3-5f8f-4e6b-97f8-e74d45724d3d","HEAL_041.mosquitoPoint.mos","D19","HEAL","HEAL_041","2017-06-14T00:53Z","2017-06-14T17:05Z","2017-07-19","HEAL_041.20170614.0905.S.01",,,,"HEAL.2017.24.CULMIN.F.A",,"Y",2,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"716c5331-4960-4e88-ba39-8b4ff85cf57b","HEAL_040.mosquitoPoint.mos","D19","HEAL","HEAL_040","2017-06-14T01:00Z","2017-06-14T17:11Z","2017-07-17","HEAL_040.20170614.0911.S.01",,,,"HEAL.2017.24.CULALA.F.A",,"Y",31,"CULALA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"alaskaensis",,"Culiseta alaskaensis","(Ludlow)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"81142874-22e3-4c8f-a058-b8de8aa48715","HEAL_040.mosquitoPoint.mos","D19","HEAL","HEAL_040","2017-06-14T01:00Z","2017-06-14T17:11Z","2017-07-17","HEAL_040.20170614.0911.S.01",,,,"HEAL.2017.24.CULMIN.F.A",,"Y",1,"CULMIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culiseta",,"minnesotae",,"Culiseta minnesotae","Barr","species","A",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"cde5420d-c61b-4149-aba0-5a2e39c8a811","HEAL_040.mosquitoPoint.mos","D19","HEAL","HEAL_040","2017-06-14T01:00Z","2017-06-14T17:11Z","2017-07-17","HEAL_040.20170614.0911.S.01",,"HEAL.2017.24.AEDPUN.F.T",,,,"Y",3,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"punctor",,"Aedes punctor","(Kirby)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"daaf9c7f-3a37-49a4-a5b6-fce1d2f40239","HEAL_040.mosquitoPoint.mos","D19","HEAL","HEAL_040","2017-06-14T01:00Z","2017-06-14T17:11Z","2017-07-17","HEAL_040.20170614.0911.S.01",,"HEAL.2017.24.AEDHEX.F.T",,,,"Y",8,"AEDHEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hexodontus",,"Aedes hexodontus","Dyar","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
